split,selection_id,operation,sample_id,video_id,target,random,n_random
special,key.A.p20.block3,delete,04,04,0.003901412089665731,0.001982902487119039,6
special,key.A.p20.block3,global_keep,04,04,0.7504565231502056,0.7388966760287682,6
special,key.A.p20.block3,conditional_keep,04,04,0.9888183971246084,0.9923653685384327,6
special,key.V.p10.point,delete,04,04,0.005572378635406494,0.0023639197798742758,23
special,key.V.p20.point,delete,04,04,0.0064754585425058995,0.0034620682398478187,50
special,key.V.p20.point,global_keep,04,04,0.681370448321104,0.7435842587371978,50
special,key.V.p20.point,conditional_keep,04,04,0.9463391304016113,0.9855222270886104,50
special,key.V.p30.point,delete,04,04,0.0031315286954243975,0.005339936117331186,50
special,key.V.p20.block3,delete,04,04,0.008915950854619343,,0
special,key.V.p20.block3,global_keep,04,04,0.6607023502389591,,0
special,key.V.p20.block3,conditional_keep,04,04,0.9230674107869467,,0
special,key.J.p10.joint,delete,04,04,0.08007363478342691,0.032029234493772187,24
special,key.J.p20.joint,delete,04,04,0.13247007131576538,0.05809606889883676,50
special,key.J.p20.joint,global_keep,04,04,0.684773325920105,0.8870612918709714,50
special,key.J.p20.joint,conditional_keep,04,04,0.684773325920105,0.8870612918709714,50
special,key.J.p30.joint,delete,04,04,0.09173796574274698,0.05776653016606966,50
special,key.U.p20.union,global_keep,04,04,0.6109003971020381,0.8630610980838536,50
special,key.T.p10.point,delete,05,05,0.007885167996088665,0.020794164141019186,50
special,key.T.p20.point,delete,05,05,0.033973515033721924,0.02608368088801702,50
special,key.T.p20.point,global_keep,05,05,0.8512949819366137,0.7976977279549464,50
special,key.T.p20.point,conditional_keep,05,05,0.9729983607927958,0.901815520549814,50
special,key.T.p30.point,delete,05,05,0.01782888174057007,0.033762240558862684,50
special,key.T.p20.block3,delete,05,05,0.03718930979569753,,0
special,key.T.p20.block3,global_keep,05,05,0.9036880085865656,,0
special,key.T.p20.block3,conditional_keep,05,05,0.979060078660647,,0
special,key.T.p20.word,delete,05,05,0.014937609434127808,0.03362851217389107,16
special,key.T.p20.word,global_keep,05,05,0.7334080847601097,0.7625095420517027,16
special,key.T.p20.word,conditional_keep,05,05,0.8281576385100683,0.8636571976045767,16
special,key.A.p10.point,delete,05,05,0.004019046823183696,0.0023075902462005617,50
special,key.A.p20.point,delete,05,05,0.006207466125488281,0.004429966111977895,50
special,key.A.p20.point,global_keep,05,05,0.7458804001410801,0.7292154413275422,50
special,key.A.p20.point,conditional_keep,05,05,0.9854512363672256,0.9840191481510798,50
special,key.A.p30.point,delete,05,05,0.0026835848887761435,0.004856474796930949,50
special,key.A.p20.block3,delete,05,05,0.010406275590260824,0.003307094176610311,3
special,key.A.p20.block3,global_keep,05,05,0.7679656731585661,0.7110306517117554,3
special,key.A.p20.block3,conditional_keep,05,05,0.970189556479454,0.9856561256779565,3
special,key.V.p10.point,delete,05,05,0.009505078196525574,0.00499265010540302,13
special,key.V.p20.point,delete,05,05,0.015577857693036398,0.007818465845452415,12
special,key.V.p20.point,global_keep,05,05,0.716564876337846,0.766708761233733,12
special,key.V.p20.point,conditional_keep,05,05,0.950412725408872,0.9666676343315178,12
special,key.V.p30.point,delete,05,05,0.009782964984575909,0.008413516680399576,50
special,key.V.p20.block3,delete,05,05,0.015577857693036398,0.005901058514912923,3
special,key.V.p20.block3,global_keep,05,05,0.716564876337846,0.7746558841317892,3
special,key.V.p20.block3,conditional_keep,05,05,0.950412725408872,0.9716858218113581,3
special,key.J.p10.joint,delete,05,05,0.04097778101762136,0.01291080457823617,14
special,key.J.p20.joint,delete,05,05,0.03221116463343302,0.02806737865010897,50
special,key.J.p20.joint,global_keep,05,05,0.9620923151572546,0.885363981833216,50
special,key.J.p20.joint,conditional_keep,05,05,0.9620923151572546,0.885363981833216,50
special,key.J.p30.joint,delete,05,05,0.027510955929756165,0.030746377607186636,50
special,key.U.p20.union,global_keep,05,05,0.9402377779285113,0.8932639125527607,12
special,key.T.p10.point,delete,06,06,0.2141793966293335,0.05886348718156417,50
special,key.T.p20.point,delete,06,06,0.3929787029822667,0.09148227339765677,50
special,key.T.p20.point,global_keep,06,06,0.9790938099225363,0.809101697852214,50
special,key.T.p20.point,conditional_keep,06,06,0.9687971373399099,0.8011285645142197,50
special,key.T.p30.point,delete,06,06,0.17571047941843668,0.11402455316235621,50
special,key.T.p20.block3,delete,06,06,0.45020349572102225,0.0736199949980911,44
special,key.T.p20.block3,global_keep,06,06,0.9723834296067556,0.7460660066519101,44
special,key.T.p20.block3,conditional_keep,06,06,0.961172749598821,0.7330155664857365,44
special,key.T.p20.point.cost6,delete,06,06,0.30824371613562107,0.09111731280262271,50
special,key.T.p20.point.cost6,global_keep,06,06,0.9769144654273987,0.7614482552199238,50
special,key.T.p20.point.cost6,conditional_keep,06,06,0.9557308554649353,0.7470260651533802,50
special,key.T.p20.word,delete,06,06,0.022524873415629067,0.0852517904843747,50
special,key.T.p20.word,global_keep,06,06,0.5707667395472527,0.8022770166521273,50
special,key.T.p20.word,conditional_keep,06,06,0.541841705640157,0.7901514001376927,50
special,key.A.p10.point,delete,06,06,0.0005387365818023682,0.0009648388624191284,50
special,key.A.p20.point,delete,06,06,0.0012947420279184978,0.0013934634129206338,50
special,key.A.p20.point,global_keep,06,06,0.6735444919516642,0.6710165685139752,50
special,key.A.p20.point,conditional_keep,06,06,0.9965310196081797,0.9942425032456716,50
special,key.A.p30.point,delete,06,06,0.001468996206919352,0.0021849873661994933,50
special,key.A.p20.block3,delete,06,06,0.0014806687831878662,0.0016688284548846159,44
special,key.A.p20.block3,global_keep,06,06,0.6705293729901314,0.6693702008348986,44
special,key.A.p20.block3,conditional_keep,06,06,0.9926529874404272,0.9915860810063101,44
special,key.A.p20.point.cost6,delete,06,06,0.0007888476053873698,0.0013411014278729755,50
special,key.A.p20.point.cost6,global_keep,06,06,0.6724315484364827,0.6685902072962682,50
special,key.A.p20.point.cost6,conditional_keep,06,06,0.9962553878625234,0.9931980856259663,50
special,key.V.p10.point,delete,06,06,5.5293242136637374e-05,0.0005637933810551961,50
special,key.V.p20.point,delete,06,06,0.00035380323727925617,0.001010384758313497,50
special,key.V.p20.point,global_keep,06,06,0.6193999672929447,0.6188667862613996,50
special,key.V.p20.point,conditional_keep,06,06,0.9986104667186737,0.9958097408215204,50
special,key.V.p30.point,delete,06,06,0.0007499754428863525,0.00131368617216746,50
special,key.V.p20.block3,delete,06,06,0.00011264284451802573,0.0009591166268695484,44
special,key.V.p20.block3,global_keep,06,06,0.6185603464643161,0.6191026129280076,44
special,key.V.p20.block3,conditional_keep,06,06,0.999319056669871,0.9952963380651041,44
special,key.V.p20.point.cost6,delete,06,06,0.0001932680606842041,0.0009505883852640788,50
special,key.V.p20.point.cost6,global_keep,06,06,0.6186010986566544,0.6194254889090857,50
special,key.V.p20.point.cost6,conditional_keep,06,06,0.9989972710609436,0.9954519456624985,50
special,key.J.p10.joint,delete,06,06,0.12951752046744028,0.026881964417795338,50
special,key.J.p20.joint,delete,06,06,0.39344872534275055,0.0998408405762166,50
special,key.J.p20.joint,global_keep,06,06,0.9664251705010732,0.7866305075760465,50
special,key.J.p20.joint,conditional_keep,06,06,0.9664251705010732,0.7866305075760465,50
special,key.J.p30.joint,delete,06,06,0.2721657020350297,0.11986284932432076,50
special,key.U.p20.union,global_keep,06,06,0.9645033578077952,0.8019398291284839,50
special,key.T.p10.point,delete,07,07,0.07603267828623454,0.021203470329443617,50
special,key.T.p20.point,delete,07,07,0.06416761378447215,0.04102034777402877,50
special,key.T.p20.point,global_keep,07,07,0.9105556358893713,0.8194449593375126,50
special,key.T.p20.point,conditional_keep,07,07,0.962967132528623,0.8528697432515523,50
special,key.T.p30.point,delete,07,07,0.08580038448174794,0.055225867480039596,50
special,key.T.p20.block3,delete,07,07,0.10865781704584757,0.04319815650582313,50
special,key.T.p20.block3,global_keep,07,07,0.9667484511931738,0.8487296077236535,50
special,key.T.p20.block3,conditional_keep,07,07,0.9828298836946487,0.8824266437937814,50
