sample_id,video_id,input_status,duration,spoken_words,accepted_words,aligned_word_fraction,low_score_word_fraction,unlocated_word_count,diagnostic_wer,pairing_status,paired_use,vision_successful_candidates,vision_episode_count,vision_eligible_rows,vision_eligible_fraction,automatic_check_status,automatic_issue_count
-iRBcNs9oI8$_$7,-iRBcNs9oI8,ok,4.070733333333334,9,5,0.5555555555555556,0.4444444444444444,4,1.2222222222222223,unverifiable,0,101,1,101,1.0,completed,4
-iRBcNs9oI8$_$8,-iRBcNs9oI8,ok,8.074733333333334,21,10,0.47619047619047616,0.5238095238095238,11,1.0476190476190477,unverifiable,0,201,1,195,0.9701492537313433,completed,4
-iRBcNs9oI8$_$9,-iRBcNs9oI8,ok,3.4034000000000004,5,5,1.0,0.0,0,1.0,unverifiable,0,58,2,0,0.0,completed,4
-lzEya4AM_4$_$5,-lzEya4AM_4,ok,7.666666666666666,19,19,1.0,0.0,0,0.10526315789473684,no_issue_detected,1,191,1,191,1.0,completed,0
-lzEya4AM_4$_$6,-lzEya4AM_4,ok,14.766666666666666,43,43,1.0,0.0,0,0.023255813953488372,unverifiable,0,356,2,0,0.0,completed,2
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,ok,6.072733333333334,13,3,0.23076923076923078,0.7692307692307693,10,1.0,unverifiable,0,0,0,0,0.0,completed,5
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,ok,5.7057,11,3,0.2727272727272727,0.7272727272727273,8,1.0,unverifiable,0,63,2,0,0.0,completed,6
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,ok,2.2355666666666667,5,3,0.6,0.4,2,1.4,unverifiable,0,56,1,56,1.0,completed,4
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,ok,4.171337868480725,11,8,0.7272727272727273,0.2727272727272727,3,1.2727272727272727,unverifiable,0,105,1,105,1.0,completed,4
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,ok,7.007000000000001,22,12,0.5454545454545454,0.45454545454545453,10,1.0909090909090908,unverifiable,0,169,2,0,0.0,completed,6
-mqbVkbCndg$_$0,-mqbVkbCndg,ok,6.5,12,12,1.0,0.0,0,0.0,no_issue_detected,1,162,1,162,1.0,completed,0
-qDkUB0GgYY$_$6,-qDkUB0GgYY,ok,4.666666666666666,16,16,1.0,0.0,0,0.5625,no_issue_detected,1,117,1,117,1.0,completed,0
-ri04Z7vwnc$_$0,-ri04Z7vwnc,ok,2.7944666666666667,8,6,0.75,0.25,2,1.0,unverifiable,0,0,0,0,0.0,completed,5
-ri04Z7vwnc$_$2,-ri04Z7vwnc,ok,6.006,16,10,0.625,0.375,6,1.0,unverifiable,0,47,1,47,0.32867132867132864,completed,4
-ri04Z7vwnc$_$5,-ri04Z7vwnc,ok,3.5035111111111115,8,5,0.625,0.375,3,1.875,unverifiable,0,83,1,83,1.0,completed,4
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,ok,6.866666666666666,24,23,0.9583333333333334,0.041666666666666664,1,0.20833333333333334,unverifiable,0,266,3,0,0.0,completed,2
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,ok,4.766666666666667,11,11,1.0,0.0,0,0.45454545454545453,unverifiable,0,214,2,0,0.0,completed,2
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,ok,4.3999999999999995,9,9,1.0,0.0,0,0.4444444444444444,unverifiable,0,57,3,0,0.0,completed,2
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,ok,8.533333333333333,19,19,1.0,0.0,0,0.15789473684210525,no_issue_detected,1,210,1,210,0.995260663507109,completed,0
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,ok,2.4666666666666663,5,5,1.0,0.0,0,0.4,no_issue_detected,1,36,1,36,0.6,completed,0
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,ok,6.933333333333333,28,28,1.0,0.0,0,0.5714285714285714,unverifiable,0,175,4,0,0.0,completed,2
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,ok,3.2666666666666666,12,12,1.0,0.0,0,0.4166666666666667,unverifiable,0,143,2,0,0.0,completed,2
-t217m2on-s$_$2,-t217m2on-s,ok,5.666666666666666,12,12,1.0,0.0,0,0.3333333333333333,no_issue_detected,1,142,1,142,1.0,completed,0
-t217m2on-s$_$7,-t217m2on-s,ok,17.166666666666664,45,45,1.0,0.0,0,0.15555555555555556,no_issue_detected,1,427,1,427,1.0,completed,0
-tANM6ETl_M$_$3,-tANM6ETl_M,ok,6.733333333333333,22,22,1.0,0.0,0,0.13636363636363635,unverifiable,0,153,3,0,0.0,completed,2
-tPCytz4rww$_$10,-tPCytz4rww,ok,4.766666666666667,12,12,1.0,0.0,0,0.3333333333333333,no_issue_detected,1,119,1,119,1.0,completed,0
-tPCytz4rww$_$11,-tPCytz4rww,ok,5.466666666666667,17,17,1.0,0.0,0,0.29411764705882354,no_issue_detected,1,137,1,137,1.0,completed,0
-tPCytz4rww$_$12,-tPCytz4rww,ok,11.833333333333334,26,26,1.0,0.0,0,0.2692307692307692,no_issue_detected,1,295,1,295,1.0,completed,0
-tPCytz4rww$_$16,-tPCytz4rww,ok,7.2,16,16,1.0,0.0,0,0.375,no_issue_detected,1,180,1,180,1.0,completed,0
