sample_index,sample_id,video_id,diagnostic_wer,aligned_word_fraction,whisperx_wer,wer_percentile,unaligned_percentile,whisperx_wer_percentile,risk_score,risk_components,existing_ctc_alert,auxiliary_complete
8,-9y-fZ3swSY$_$0,-9y-fZ3swSY,0.5,0.9545454545454546,,0.7272727272727273,0.7474747474747475,,0.7373737373737375,2,False,False
34,-UuX1xuaiiE$_$1,-UuX1xuaiiE,0.2962962962962963,0.8518518518518519,,0.47474747474747475,0.8080808080808081,,0.6414141414141414,2,False,False
88,-vxjVxOeScU$_$4,-vxjVxOeScU,0.2857142857142857,0.9523809523809523,,0.4494949494949495,0.7575757575757576,,0.6035353535353536,2,False,False
59,-iRBcNs9oI8$_$9,-iRBcNs9oI8,1.0,1.0,,0.8383838383838383,0.36363636363636365,,0.601010101010101,2,True,False
33,-UuX1xuaiiE$_$0,-UuX1xuaiiE,0.2222222222222222,0.8888888888888888,,0.3888888888888889,0.7878787878787878,,0.5883838383838383,2,False,False
16,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0.8181818181818182,1.0,,0.7878787878787878,0.36363636363636365,,0.5757575757575757,2,True,False
1,-3g5yACwYnA$_$2,-3g5yACwYnA,0.6428571428571429,1.0,,0.7777777777777778,0.36363636363636365,,0.5707070707070707,2,False,False
12,-HeZS2-Prhc$_$2,-HeZS2-Prhc,0.625,1.0,,0.7676767676767676,0.36363636363636365,,0.5656565656565656,2,False,False
87,-uywlfIYOS8$_$4,-uywlfIYOS8,0.6111111111111112,1.0,,0.7575757575757576,0.36363636363636365,,0.5606060606060606,2,False,False
77,-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,0.5714285714285714,1.0,,0.7474747474747475,0.36363636363636365,,0.5555555555555556,2,False,False
68,-qDkUB0GgYY$_$6,-qDkUB0GgYY,0.5625,1.0,,0.7373737373737373,0.36363636363636365,,0.5505050505050505,2,False,False
72,-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0.20833333333333334,0.9583333333333334,,0.36363636363636365,0.7373737373737373,,0.5505050505050505,2,False,False
44,-egA8-b7-3M$_$1,-egA8-b7-3M,0.46153846153846156,1.0,,0.7171717171717171,0.36363636363636365,,0.5404040404040404,2,False,False
36,-UuX1xuaiiE$_$6,-UuX1xuaiiE,0.45454545454545453,1.0,,0.702020202020202,0.36363636363636365,,0.5328282828282829,2,False,False
73,-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,0.45454545454545453,1.0,,0.702020202020202,0.36363636363636365,,0.5328282828282829,2,False,False
35,-UuX1xuaiiE$_$3,-UuX1xuaiiE,0.4444444444444444,1.0,,0.6818181818181818,0.36363636363636365,,0.5227272727272727,2,False,False
74,-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,0.4444444444444444,1.0,,0.6818181818181818,0.36363636363636365,,0.5227272727272727,2,False,False
11,-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0.43902439024390244,1.0,,0.6666666666666666,0.36363636363636365,,0.5151515151515151,2,False,False
5,-571d8cVauQ$_$0,-571d8cVauQ,0.4166666666666667,1.0,,0.6414141414141414,0.36363636363636365,,0.5025252525252526,2,False,False
78,-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,0.4166666666666667,1.0,,0.6414141414141414,0.36363636363636365,,0.5025252525252526,2,False,False
29,-THoVjtIkeU$_$6,-THoVjtIkeU,0.13333333333333333,0.9333333333333333,,0.23232323232323232,0.7676767676767676,,0.5,2,False,False
18,-I_e4mIh0yE$_$3,-I_e4mIh0yE,0.4090909090909091,1.0,,0.6262626262626263,0.36363636363636365,,0.494949494949495,2,False,False
0,-3g5yACwYnA$_$13,-3g5yACwYnA,0.4,1.0,,0.6060606060606061,0.36363636363636365,,0.48484848484848486,2,False,False
25,-RfYyzHpjk4$_$2,-RfYyzHpjk4,0.4,1.0,,0.6060606060606061,0.36363636363636365,,0.48484848484848486,2,False,False
76,-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,0.4,1.0,,0.6060606060606061,0.36363636363636365,,0.48484848484848486,2,False,False
38,-aNfi7CP8vM$_$7,-aNfi7CP8vM,0.3888888888888889,1.0,,0.5858585858585859,0.36363636363636365,,0.47474747474747475,2,False,False
85,-tPCytz4rww$_$16,-tPCytz4rww,0.375,1.0,,0.5757575757575758,0.36363636363636365,,0.4696969696969697,2,False,False
32,-UacrmKiTn4$_$4,-UacrmKiTn4,0.35714285714285715,1.0,,0.5656565656565656,0.36363636363636365,,0.46464646464646464,2,False,False
40,-dxfTGcXJoc$_$0,-dxfTGcXJoc,0.35555555555555557,1.0,,0.5555555555555556,0.36363636363636365,,0.4595959595959596,2,False,False
24,-RfYyzHpjk4$_$11,-RfYyzHpjk4,0.35294117647058826,1.0,,0.5454545454545454,0.36363636363636365,,0.45454545454545453,2,False,False
94,-wny0OAz3g8$_$5,-wny0OAz3g8,0.35,1.0,,0.5353535353535354,0.36363636363636365,,0.4494949494949495,2,False,False
30,-UUCSKoHeMA$_$0,-UUCSKoHeMA,0.3333333333333333,1.0,,0.5151515151515151,0.36363636363636365,,0.4393939393939394,2,False,False
79,-t217m2on-s$_$2,-t217m2on-s,0.3333333333333333,1.0,,0.5151515151515151,0.36363636363636365,,0.4393939393939394,2,False,False
82,-tPCytz4rww$_$10,-tPCytz4rww,0.3333333333333333,1.0,,0.5151515151515151,0.36363636363636365,,0.4393939393939394,2,False,False
2,-3g5yACwYnA$_$3,-3g5yACwYnA,0.3103448275862069,1.0,,0.494949494949495,0.36363636363636365,,0.4292929292929293,2,False,False
