checkpoint,split,class_bias,source,main_scenarios,n,missing_macro_f1,missing_mae,missing_accuracy,missing_weighted_f1,clean_macro_f1,clean_mae,clean_accuracy,clean_weighted_f1,clean_pearson
experiments/bert8_ablate_mean_pool_v1/runs/late_pool_tune_aug/seed_1111/best.pt,test,,reports/exploratory/bert8_ablate_mean_pool_v1/20260925T082744793170Z/metrics_per_scenario.csv,72,727,0.5676883171592326,0.7196873763460869,0.617339141066789,0.6128980192696866,0.6061582166402032,0.6835394649973916,0.6602475928473177,0.6511285053487966,0.6124308185671586
experiments/bert8_ablate_no_cls_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/bert8_ablate_no_cls_v1/20260925T081800278572Z/metrics_per_scenario.csv,72,727,0.5664125014579002,0.7170551546974114,0.619440623567171,0.6129324062541465,0.6031432088200024,0.6793545106300338,0.6629986244841816,0.650814195103509,0.6136603551930943
experiments/bert8_ablate_no_corruption_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/bert8_ablate_no_corruption_v1/20260925T081240965045Z/metrics_per_scenario.csv,72,727,0.5503546369231019,0.7172351961532869,0.6117033470884915,0.6012227751820273,0.580116549986871,0.6800986059747273,0.6547455295735901,0.6343923761203666,0.6182334113187707
experiments/gate_v1/runs/late_gate_tune/seed_1111/best.pt,test,,reports/exploratory/gate_v1/20260925T050125365217Z/metrics_per_scenario.csv,72,727,0.5554041642258007,0.7318454753369334,0.6037559223597737,0.5997141168325675,0.5883599212919831,0.6937218221838675,0.6423658872077029,0.6329575320860176,0.5818440974769505
experiments/gru_av_v1/runs/late_gru_tune/seed_1111/best.pt,test,,reports/exploratory/gru_av_v1/20260925T050043250408Z/metrics_per_scenario.csv,72,727,0.5531330314343994,0.7509633356288041,0.6034311477915328,0.5985804265392844,0.5788089120643424,0.716536278549314,0.6396148555708391,0.6277258178850725,0.5903850294813091
experiments/attn_reg0.05_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/final_controls/attn_reg0.05_v1_seed1111/metrics_per_scenario.csv,72,727,0.5588974256780502,0.7518637938177881,0.6053224820418768,0.6023271154875245,0.592297363166221,0.720881722175242,0.6478679504814305,0.6381380263987743,0.5895398031469934
experiments/attn_reg1.0_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/final_controls/attn_reg1.0_v1_seed1111/metrics_per_scenario.csv,72,727,0.5681514777395285,0.7290447617763824,0.6126203576341128,0.6106058744762982,0.6027574417244973,0.6920507396763496,0.656121045392022,0.6476356820530799,0.585402150844886
runs_baseline_20260924/full/seed_1111/best.pt,test,,reports/final_controls/baseline_full_seed1111/metrics_per_scenario.csv,72,727,0.5018528457194755,0.8617996581024207,0.545735900962861,0.5459010824575553,0.5171288952626761,0.8456086575768137,0.5653370013755158,0.5630506988574743,0.49438774235254274
runs_baseline_20260924/full/seed_1112/best.pt,test,,reports/final_controls/baseline_full_seed1112/metrics_per_scenario.csv,72,727,0.49870669553498914,0.8289816798701971,0.5691578786489377,0.5527573954002349,0.5329441692572222,0.7955761251025071,0.6079779917469051,0.587699158201987,0.5031789641620681
runs_baseline_20260924/full/seed_1113/best.pt,test,,reports/final_controls/baseline_full_seed1113/metrics_per_scenario.csv,72,727,0.4882153537923798,0.8474815280051566,0.5617453767384991,0.5433629855626645,0.5313692075112851,0.8270232982022695,0.5969738651994498,0.581659007599887,0.49695183790321606
runs_baseline_20260924/late_aug/seed_1111/best.pt,test,,reports/final_controls/baseline_late_aug_seed1111/metrics_per_scenario.csv,72,727,0.5093998328310391,0.8324844439376567,0.567438483875898,0.558030430245394,0.5357590166810167,0.8043621392466481,0.6024759284731774,0.5860726252500308,0.485485066477341
runs_baseline_20260924/late_aug/seed_1112/best.pt,test,,reports/final_controls/baseline_late_aug_seed1112/metrics_per_scenario.csv,72,727,0.5138378585857617,0.8195901506043448,0.5638850680116154,0.5591711093735401,0.5371105340771023,0.7826983995206892,0.5887207702888583,0.5828560934967421,0.5248309687805998
runs_baseline_20260924/late_aug/seed_1113/best.pt,test,,reports/final_controls/baseline_late_aug_seed1113/metrics_per_scenario.csv,72,727,0.5106351958537525,0.8160768835719086,0.5938407458352438,0.5688733857882879,0.5398442895732002,0.7905744400839072,0.6272352132049519,0.5972974351803835,0.5429402666446644
runs_baseline_20260924/late_clean/seed_1111/best.pt,test,,reports/final_controls/baseline_late_clean_seed1111/metrics_per_scenario.csv,72,727,0.4988530413580339,0.8296366902152948,0.5762838147638698,0.5555225105913766,0.514593266688137,0.8051847228216727,0.6052269601100413,0.5747999228308077,0.4798473153108676
runs_baseline_20260924/late_clean/seed_1112/best.pt,test,,reports/final_controls/baseline_late_clean_seed1112/metrics_per_scenario.csv,72,727,0.49800716348104274,0.8084617024333064,0.5489072290998014,0.5434257049215312,0.519292726668341,0.7749422974778823,0.5735900962861072,0.5657425179559321,0.5168582149258117
runs_baseline_20260924/late_clean/seed_1113/best.pt,test,,reports/final_controls/baseline_late_clean_seed1113/metrics_per_scenario.csv,72,727,0.4972934221899626,0.8144659231274347,0.551104233532019,0.5470481214619086,0.5325307320920394,0.7886379625772522,0.5887207702888583,0.5827070516299585,0.5168736468547133
experiments/full_tune_stress_v3/runs/full_tune_stress/seed_1111/best.pt,test,,reports/final_controls/full_tune_stress_v3_seed1111/metrics_per_scenario.csv,72,727,0.5461982063187502,0.7548096917452288,0.6055326302919151,0.5946241414404332,0.5827079846275153,0.7153025937697081,0.6231086657496562,0.6228670817260701,0.5714736788998286
