sample_id,video_id,selection,group_cost,point_cost,group_D,point_D
128763$_$8,128763,key.A.p20.block3,2,2,0.01270433266957601,0.015690336624781292
128763$_$8,128763,key.V.p20.block3,2,2,0.0009414652983347575,0.004927327235539755
130456$_$11,130456,key.T.p20.block3,7,7,0.04292838772137959,0.04590096076329549
130456$_$11,130456,key.T.p20.word,7,7,0.06299603978792827,0.04590096076329549
130456$_$11,130456,key.A.p20.block3,7,7,0.002622356017430623,0.0027922391891479492
130456$_$11,130456,key.V.p20.block3,7,7,0.0024237334728240967,0.003164052963256836
130456$_$3,130456,key.T.p20.block3,4,4,0.010431687037150065,0.28193848207592964
130456$_$3,130456,key.T.p20.word,4,4,0.33952720152835053,0.28193848207592964
130456$_$3,130456,key.A.p20.block3,4,4,0.0006817380587259929,0.001794228951136271
130456$_$3,130456,key.V.p20.block3,3,3,0.0017247001330057779,0.0012645324071248372
130456$_$5,130456,key.T.p20.block3,2,2,0.039269400760531425,0.04441676537195841
130456$_$5,130456,key.T.p20.word,2,2,0.04441676537195841,0.04441676537195841
130456$_$5,130456,key.A.p20.block3,2,2,0.002196595072746277,0.004362563292185465
130456$_$5,130456,key.V.p20.block3,2,2,0.004852041602134705,0.004030632476011912
130456$_$4,130456,key.T.p20.block3,5,5,0.01416665067275365,0.04726351797580719
130456$_$4,130456,key.T.p20.word,5,5,0.0314007376631101,0.04726351797580719
130456$_$4,130456,key.A.p20.block3,5,5,0.010142328838507334,0.010142328838507334
130456$_$4,130456,key.V.p20.block3,5,5,0.004659518599510193,0.004141122102737427
130456$_$7,130456,key.T.p20.block3,2,2,0.014365886648495993,0.3532677839199702
130456$_$7,130456,key.T.p20.word,2,2,0.3532677839199702,0.3532677839199702
130456$_$7,130456,key.A.p20.block3,2,2,0.011934141318003338,0.03226650754610697
130456$_$7,130456,key.V.p20.block3,2,2,0.004201551278432211,0.006420160333315532
130456$_$6,130456,key.T.p20.block3,7,7,0.20447487756609917,0.28417416972418624
130456$_$6,130456,key.T.p20.word,7,7,0.28417416972418624,0.28417416972418624
130456$_$6,130456,key.A.p20.block3,7,7,0.003954296310742696,0.005670130252838135
130456$_$6,130456,key.V.p20.block3,7,7,0.0007740209499994913,0.002571110924084981
188343$_$13,188343,key.T.p20.block3,8,8,0.09715525805950165,0.046596343318621315
188343$_$13,188343,key.T.p20.word,8,8,0.046596343318621315,0.046596343318621315
188343$_$13,188343,key.A.p20.block3,8,8,0.005083416899045309,0.0041563063859939575
188343$_$13,188343,key.V.p20.block3,8,8,0.00032767653465270996,0.00021409491697947186
188343$_$12,188343,key.T.p20.block3,6,6,0.7209261481960614,0.24681388586759567
188343$_$12,188343,key.T.p20.word,6,6,0.24681388586759567,0.24681388586759567
188343$_$12,188343,key.A.p20.block3,6,6,0.0016027291615804036,0.0003673434257507324
188343$_$12,188343,key.V.p20.block3,6,6,0.0002002418041229248,0.0014407634735107422
188343$_$5,188343,key.T.p20.block3,3,3,0.09288083265225093,0.11628490934769313
188343$_$5,188343,key.T.p20.word,4,4,0.20734633722652993,0.14833543946345648
188343$_$5,188343,key.A.p20.block3,3,3,0.0052214935421943665,0.006667375564575195
188343$_$5,188343,key.V.p20.block3,3,3,0.008634837965170542,0.008634837965170542
188343$_$9,188343,key.T.p20.block3,6,6,0.10620003069440523,0.08330730721354485
188343$_$9,188343,key.T.p20.word,6,6,0.08330730721354485,0.08330730721354485
188343$_$9,188343,key.A.p20.block3,6,6,0.004004061222076416,0.003623552620410919
188343$_$9,188343,key.V.p20.block3,6,6,0.0053356339534123744,0.00688662255803744
188343$_$8,188343,key.T.p20.block3,4,4,0.37421461815635365,0.45734267185131705
188343$_$8,188343,key.T.p20.word,4,4,0.45734267185131705,0.45734267185131705
188343$_$8,188343,key.A.p20.block3,4,4,0.00658804178237915,0.0019312997659047444
188343$_$8,188343,key.V.p20.block3,4,4,0.0036952594916025796,0.004593402147293091
1HK7Nea0PFo$_$1,1HK7Nea0PFo,key.T.p20.block3,3,3,0.08246665510038535,0.06689435616135597
1HK7Nea0PFo$_$1,1HK7Nea0PFo,key.T.p20.word,3,3,0.06689435616135597,0.06689435616135597
1HK7Nea0PFo$_$1,1HK7Nea0PFo,key.A.p20.block3,3,3,0.010785276691118876,0.00834658369421959
1HK7Nea0PFo$_$1,1HK7Nea0PFo,key.V.p20.block3,3,3,0.0035975053906440735,0.00081663578748703
216097$_$1,216097,key.T.p20.block3,3,3,0.3833606628080209,0.4081098095824321
216097$_$1,216097,key.T.p20.word,3,3,0.4081098095824321,0.4081098095824321
216097$_$1,216097,key.A.p20.block3,3,3,0.006843537092208862,0.006899307171503702
216097$_$1,216097,key.V.p20.block3,0,1,0.0,0.0031212568283081055
216097$_$2,216097,key.T.p20.block3,5,5,0.058664587481568255,0.1471588349280258
216097$_$2,216097,key.T.p20.word,5,5,0.039229297234366335,0.1471588349280258
216097$_$2,216097,key.A.p20.block3,5,5,0.007148966658860445,0.0030517843551933765
216097$_$2,216097,key.V.p20.block3,4,4,0.0016986775832871595,0.0018101087771356106
216097$_$5,216097,key.T.p20.block3,6,6,0.06943777793397506,0.16694818064570427
216097$_$5,216097,key.T.p20.word,6,6,0.15569652741154036,0.16694818064570427
216097$_$5,216097,key.A.p20.block3,6,6,0.00219323734442393,0.003679923713207245
216097$_$5,216097,key.V.p20.block3,5,5,0.002114236354827881,0.0018640706936518352
216097$_$4,216097,key.T.p20.block3,9,9,0.3537759731213252,0.3301997408270836
216097$_$4,216097,key.T.p20.word,9,9,0.39048560708761215,0.3301997408270836
216097$_$4,216097,key.A.p20.block3,9,9,0.003289461135864258,0.006711314121882121
216097$_$4,216097,key.V.p20.block3,8,8,0.00016920765240987143,0.0007165968418121338
216097$_$7,216097,key.T.p20.block3,10,10,0.2563580895463626,0.2253287335236867
216097$_$7,216097,key.T.p20.word,10,10,0.2330739175279935,0.2253287335236867
216097$_$7,216097,key.A.p20.block3,10,10,0.003209054470062256,0.0006670852502187092
216097$_$7,216097,key.V.p20.block3,9,9,0.0005354583263397217,0.0009731551011403402
216097$_$8,216097,key.T.p20.block3,2,2,0.013480991125106812,0.5098223586877187
216097$_$8,216097,key.T.p20.word,2,2,0.029019241531689964,0.5098223586877187
216097$_$8,216097,key.A.p20.block3,2,2,0.0051653484503428135,0.0008126695950826008
216097$_$8,216097,key.V.p20.block3,1,1,0.04997832576433817,0.04997832576433817
223431$_$11,223431,key.T.p20.block3,5,5,0.061114996671676636,0.044780244429906205
223431$_$11,223431,key.T.p20.word,5,5,0.06467953324317932,0.044780244429906205
