split,selection_id,operation,sample_id,video_id,target,random,n_random,gain,modality
valid,key.J.p20.joint,delete,102858$_$6,102858,0.3541027046740055,0.1227270724872748,50,0.2313756321867307,J
valid,key.T.p20.point,delete,102858$_$10,102858,0.5293049231792489,0.1645172789870273,35,0.36478764419222165,T
valid,key.A.p20.point,delete,102858$_$10,102858,0.0069787998994191,0.0032781188686688,8,0.0037006810307503,A
valid,key.V.p20.point,delete,102858$_$10,102858,0.0015502572059631,0.0009160501261552,8,0.0006342070798079001,V
valid,key.J.p20.joint,delete,102858$_$10,102858,0.5298938431466619,0.1644618008463155,35,0.36543204230034637,J
valid,key.T.p20.point,delete,102858$_$17,102858,0.049881258358558,0.0719111073204534,27,-0.0220298489618954,T
valid,key.A.p20.point,delete,102858$_$17,102858,0.0017295541862646,0.0034931917433385,27,-0.0017636375570738998,A
valid,key.V.p20.point,delete,102858$_$17,102858,0.0022525936365127,0.0011242620738936,27,0.0011283315626191,V
valid,key.J.p20.joint,delete,102858$_$17,102858,0.1142806575323144,0.0467700208149229,8,0.06751063671739149,J
valid,key.T.p20.point,delete,102858$_$19,102858,0.0283714452137549,0.047528562520553,50,-0.0191571173067981,T
valid,key.A.p20.point,delete,102858$_$19,102858,0.0052554172774155,0.0013725853835542,10,0.0038828318938613003,A
valid,key.V.p20.point,delete,102858$_$19,102858,0.0135233042140801,0.00475854575634,10,0.0087647584577401,V
valid,key.J.p20.joint,delete,102858$_$19,102858,0.0317729183783133,0.0476660756372924,50,-0.0158931572589791,J
valid,key.T.p20.point,delete,112433$_$3,112433,0.2565737863381703,0.0636865994830926,50,0.1928871868550777,T
valid,key.A.p20.point,delete,112433$_$3,112433,0.010819524526596,0.0042483055591583,50,0.0065712189674377,A
valid,key.V.p20.point,delete,112433$_$3,112433,0.0015098253885904,0.0012379233042399,50,0.0002719020843505002,V
valid,key.J.p20.joint,delete,112433$_$3,112433,0.2595046684145927,0.0594809906184673,50,0.2000236777961254,J
valid,key.T.p20.point,delete,112433$_$7,112433,0.1620677262544632,0.0806320051168218,27,0.0814357211376414,T
valid,key.A.p20.point,delete,112433$_$7,112433,0.0066725760698318,0.002728705972801,27,0.0039438700970307996,A
valid,key.V.p20.point,delete,112433$_$7,112433,0.0023286938667297,0.0006881590400423,7,0.0016405348266873999,V
valid,key.J.p20.joint,delete,112433$_$7,112433,0.2261951317389806,0.0334227209289868,8,0.1927724108099938,J
valid,key.T.p20.point,delete,112433$_$6,112433,0.335047110915184,0.0770263608296712,50,0.25802075008551284,T
valid,key.A.p20.point,delete,112433$_$6,112433,0.000479241212209,0.002600453098615,50,-0.002121211886406,A
valid,key.V.p20.point,delete,112433$_$6,112433,0.0006231764952341,0.000614250699679,50,8.925795555100001e-06,V
valid,key.J.p20.joint,delete,112433$_$6,112433,0.5072222401698431,0.0840498740971088,50,0.4231723660727343,J
valid,key.T.p20.point,delete,117tQqLjza4$_$6,117tQqLjza4,0.1325391431649526,0.0371921338389317,50,0.09534700932602092,T
valid,key.A.p20.point,delete,117tQqLjza4$_$6,117tQqLjza4,0.0059573302666346,0.0041751236716906,50,0.001782206594944,A
valid,key.V.p20.point,delete,117tQqLjza4$_$6,117tQqLjza4,0.005915234486262,0.0083893350760142,50,-0.0024741005897521992,V
valid,key.J.p20.joint,delete,117tQqLjza4$_$6,117tQqLjza4,0.1379869778951009,0.0407415347235898,50,0.0972454431715111,J
valid,key.T.p20.point,delete,11j7EfglCAs$_$2,11j7EfglCAs,0.0218918854370713,0.02490457571034,50,-0.0030126902732687012,T
valid,key.A.p20.point,delete,11j7EfglCAs$_$2,11j7EfglCAs,0.0064852091794212,0.0039763916656374,50,0.0025088175137837994,A
valid,key.V.p20.point,delete,11j7EfglCAs$_$2,11j7EfglCAs,0.005556719067196,0.0013586394747512,12,0.0041980795924448,V
valid,key.J.p20.joint,delete,11j7EfglCAs$_$2,11j7EfglCAs,0.0188364364827672,0.0295515654530997,50,-0.0107151289703325,J
valid,key.T.p20.point,delete,121128$_$10,121128,0.2661898396909237,0.1425733833480626,50,0.12361645634286109,T
valid,key.A.p20.point,delete,121128$_$10,121128,0.0061895648638407,0.0051822319316367,50,0.0010073329322040003,A
valid,key.V.p20.point,delete,121128$_$10,121128,0.0057906874765952,0.0031649617788692,12,0.002625725697726,V
valid,key.J.p20.joint,delete,121128$_$10,121128,0.2624221481382847,0.1315034162113443,50,0.1309187319269404,J
valid,key.T.p20.point,delete,121128$_$1,121128,0.0406143640478452,0.0420228775093952,50,-0.0014085134615499997,T
valid,key.A.p20.point,delete,121128$_$1,121128,0.0179093107581138,0.0054006478190422,50,0.012508662939071599,A
valid,key.V.p20.point,delete,121128$_$1,121128,0.0114375352859497,0.0022230840226014,50,0.0092144512633483,V
valid,key.J.p20.joint,delete,121128$_$1,121128,0.0838640381892522,0.0377580434332291,50,0.046105994756023096,J
valid,key.T.p20.point,delete,121128$_$0,121128,0.0580893233418464,0.0200571568795677,44,0.038032166462278694,T
valid,key.A.p20.point,delete,121128$_$0,121128,0.006646279245615,0.0020377739436096,9,0.0046085053020054004,A
valid,key.V.p20.point,delete,121128$_$0,121128,0.0035637939969698,0.0013091357217894,9,0.0022546582751804,V
valid,key.J.p20.joint,delete,121128$_$0,121128,0.0547635232408841,0.0201413887623471,44,0.034622134478537,J
valid,key.T.p20.point,delete,121128$_$5,121128,0.4653306584417199,0.0211510840389463,6,0.4441795744027736,T
valid,key.A.p20.point,delete,121128$_$5,121128,0.0029318034648895,0.0013754881090588,6,0.0015563153558307,A
valid,key.V.p20.point,delete,121128$_$5,121128,0.0006634493668874,0.0004461473888821,6,0.0002173019780053,V
valid,key.J.p20.joint,delete,121128$_$5,121128,0.4694423658462862,0.0215073625246683,6,0.4479350033216179,J
valid,key.T.p20.point,delete,125344$_$0,125344,0.0584497414529323,0.1213880308244066,50,-0.0629382893714743,T
valid,key.A.p20.point,delete,125344$_$0,125344,0.0042056217789649,0.0036356809114416,50,0.0005699408675233003,A
valid,key.V.p20.point,delete,125344$_$0,125344,0.0131703024574865,0.0083366049143175,10,0.004833697543169001,V
valid,key.J.p20.joint,delete,125344$_$0,125344,0.0778541527688503,0.0958029070900132,50,-0.0179487543211629,J
valid,key.T.p20.point,delete,125676$_$0,125676,0.2919284825523694,0.0690917570066327,50,0.22283672554573672,T
valid,key.A.p20.point,delete,125676$_$0,125676,0.0065892189741134,0.0064784055451552,50,0.0001108134289582001,A
valid,key.V.p20.point,delete,125676$_$0,125676,0.0117183923721313,0.0048544191320737,50,0.006863973240057601,V
valid,key.J.p20.joint,delete,125676$_$0,125676,0.1745175855855147,0.043644300690203,11,0.1308732848953117,J
valid,key.T.p20.point,delete,125676$_$4,125676,0.2724058801929156,0.0718235517541567,50,0.20058232843875892,T
valid,key.A.p20.point,delete,125676$_$4,125676,0.004292478164037,0.0023634747664133,50,0.0019290033976237,A
valid,key.V.p20.point,delete,125676$_$4,125676,0.001796931028366,0.0026099979877471,50,-0.0008130669593811,V
valid,key.J.p20.joint,delete,125676$_$4,125676,0.2612875203291575,0.0806382587055365,50,0.180649261623621,J
valid,key.T.p20.point,delete,128059$_$11,128059,0.0432038704554239,0.0595634062091509,50,-0.016359535753727,T
valid,key.A.p20.point,delete,128059$_$11,128059,0.0030754009882609,0.001432802081108,50,0.0016425989071529,A
valid,key.V.p20.point,delete,128059$_$11,128059,0.0184867282708485,0.0057744169235229,50,0.012712311347325601,V
valid,key.J.p20.joint,delete,128059$_$11,128059,0.2008573462565739,0.0605890584240357,50,0.1402682878325382,J
valid,key.T.p20.point,delete,128059$_$12,128059,0.6205611551801363,0.0941165346403916,50,0.5264446205397447,T
valid,key.A.p20.point,delete,128059$_$12,128059,0.0021000206470489,0.0013819239536921,50,0.0007180966933567998,A
valid,key.V.p20.point,delete,128059$_$12,128059,0.0037498275438944,0.0029486139615376,10,0.0008012135823567998,V
valid,key.J.p20.joint,delete,128059$_$12,128059,0.6261440633485714,0.1517836644314229,50,0.47436039891714854,J
valid,key.T.p20.point,delete,128059$_$2,128059,0.1342257062594095,0.0952245189854875,50,0.03900118727392199,T
valid,key.A.p20.point,delete,128059$_$2,128059,0.0064596633116404,0.0017221365372339,50,0.0047375267744065004,A
valid,key.V.p20.point,delete,128059$_$2,128059,0.0041424135367075,0.0012774103879928,50,0.0028650031487147,V
valid,key.J.p20.joint,delete,128059$_$2,128059,0.5379778817296028,0.0694589779401818,50,0.468518903789421,J
valid,key.T.p20.point,delete,128059$_$7,128059,0.133216764157017,0.0338931222003884,50,0.0993236419566286,T
valid,key.A.p20.point,delete,128059$_$7,128059,0.0029212571680545,0.0020289346917221,50,0.0008923224763323998,A
