sample_id,modality,n_positions,top20_share,positive_fraction,negative_fraction,median_D
112433$_$7,T,9,0.5984216582452381,0.5555555555555556,0.4444444444444444,0.0407292793194452
112433$_$7,V,9,0.4791373930560765,0.7777777777777778,0.2222222222222222,0.0002658118804295
117tQqLjza4$_$6,A,15,0.33592812421691537,0.5333333333333333,0.4666666666666667,0.0021109009782473
117tQqLjza4$_$6,T,15,0.5234437764149151,0.6,0.4,0.0078910638888676
117tQqLjza4$_$6,V,15,0.3740193884871321,0.4,0.6,0.0041714509328206
11j7EfglCAs$_$2,A,24,0.3775080721321722,0.6666666666666666,0.3333333333333333,0.0009740518095592
11j7EfglCAs$_$2,T,24,0.46264362991883157,0.5,0.5,0.00858586219449835
11j7EfglCAs$_$2,V,16,0.5688849941305754,0.75,0.25,0.00043468022098139996
121128$_$0,A,11,0.519072119283381,0.6363636363636364,0.36363636363636365,0.0012455756465593
121128$_$0,T,11,0.7477077593690494,0.5454545454545454,0.45454545454545453,0.004101259013017
121128$_$0,V,11,0.5037495990746833,0.5454545454545454,0.45454545454545453,0.0006384551525115
121128$_$1,A,29,0.38395242078424335,0.4482758620689655,0.5517241379310345,0.0012607822815577
121128$_$1,T,29,0.5127301644385055,0.5517241379310345,0.4482758620689655,0.009652222196261
121128$_$1,V,29,0.4180528108006624,0.6206896551724138,0.3793103448275862,0.000722254316012
121128$_$10,A,15,0.3561594448215353,0.4,0.6,0.0020054553945859
121128$_$10,T,15,0.4426223739387223,0.4,0.6,0.0813276146848996
121128$_$10,V,15,0.30399729152313254,0.6,0.4,0.0011746200422445
121128$_$5,A,7,0.4175684701552259,0.5714285714285714,0.42857142857142855,0.0015291770299275
121128$_$5,T,7,0.8719635962716902,0.42857142857142855,0.5714285714285714,0.0208356181780497
121128$_$5,V,7,0.35806500539781144,0.42857142857142855,0.5714285714285714,0.0004527370134989
125344$_$0,A,48,0.42762700551730326,0.5833333333333334,0.4166666666666667,0.0005191232388217499
125344$_$0,T,48,0.45049810150404634,0.5416666666666666,0.4583333333333333,0.021103223785757998
125344$_$0,V,14,0.4009393453467051,0.2857142857142857,0.7142857142857143,0.001451668019096
125676$_$0,A,13,0.4414560233394073,0.5384615384615384,0.46153846153846156,0.0020608007907867
125676$_$0,T,13,0.34441358802349265,0.6153846153846154,0.38461538461538464,0.0349648719032605
125676$_$0,V,13,0.5052439075418328,0.46153846153846156,0.5384615384615384,0.0016924639542897
125676$_$4,A,27,0.4141892369805319,0.5925925925925926,0.4074074074074074,0.0005639096101125
125676$_$4,T,27,0.6633929886928294,0.48148148148148145,0.5185185185185185,0.0077092349529266
125676$_$4,V,27,0.3291486342660311,0.6296296296296297,0.37037037037037035,0.0008288522561391
128059$_$11,A,38,0.3853702273562262,0.42105263157894735,0.5,0.000335747996966
128059$_$11,T,38,0.5770840258034078,0.4473684210526316,0.5526315789473685,0.0073677301406860005
128059$_$11,V,38,0.5372285097260047,0.7368421052631579,0.2631578947368421,0.0005025118589401
128059$_$12,A,16,0.43797098983627364,0.3125,0.6875,0.00083300968011215
128059$_$12,T,16,0.8734974939558171,0.3125,0.6875,0.01018797357877095
128059$_$12,V,15,0.26013232603996067,0.4,0.6,0.0010948777198791
128059$_$2,A,14,0.3752003856758127,0.5,0.5,0.0009294152259826
128059$_$2,T,14,0.7011093458318579,0.5,0.5,0.02185790240764615
128059$_$2,V,14,0.3672408576817528,0.42857142857142855,0.5714285714285714,0.00059820214907325
128059$_$6,A,48,0.39941078974210514,0.5833333333333334,0.4166666666666667,0.0004575202862421
128059$_$6,T,48,0.6535963161359925,0.4583333333333333,0.5416666666666666,0.0085925509532292
128059$_$6,V,48,0.3636669801671848,0.5416666666666666,0.4375,0.0002304712931315
128059$_$7,A,48,0.3906732874323793,0.5416666666666666,0.4583333333333333,0.00042668109138805
128059$_$7,T,48,0.46097205988834056,0.4583333333333333,0.5416666666666666,0.0053699493097762
128059$_$7,V,48,0.3566690788118893,0.5208333333333334,0.4791666666666667,0.00028070497016105
128059$_$9,A,22,0.40421834723215627,0.4090909090909091,0.5909090909090909,0.0019352176847556501
128059$_$9,T,22,0.5341499841861342,0.5,0.5,0.0425118505954742
128059$_$9,V,22,0.48659464519614487,0.2727272727272727,0.7272727272727273,0.0013745402296384
128763$_$12,A,18,0.386297347772445,0.5555555555555556,0.4444444444444444,0.00114223112662625
128763$_$12,T,18,0.4305533687674466,0.6111111111111112,0.3888888888888889,0.0433126321683327
128763$_$12,V,18,0.3760431869387567,0.3888888888888889,0.6111111111111112,0.0016157279411951
128763$_$2,A,12,0.3235253420015169,0.5,0.5,0.0008306726813316
128763$_$2,T,12,0.4631199382758836,0.4166666666666667,0.5833333333333334,0.015263866633176752
128763$_$2,V,12,0.5642375577917401,0.75,0.25,0.00041391948858895
128763$_$3,A,24,0.38904063758629387,0.4166666666666667,0.4583333333333333,0.0007041494051615
128763$_$3,T,24,0.5499855183102756,0.5,0.5,0.0097431639830271
128763$_$3,V,24,0.35625438794025055,0.4166666666666667,0.5833333333333334,8.35557778676351e-05
128763$_$5,A,10,0.27084797345559086,0.5,0.5,0.0022672911485036003
128763$_$5,T,10,0.36319383039035397,0.3,0.7,0.028032307823498998
128763$_$5,V,10,0.3671396546427398,0.3,0.7,0.00067947184046105
128763$_$7,A,16,0.42024444884872925,0.5625,0.4375,0.0006060004234313501
128763$_$7,T,16,0.6399160293518874,0.6875,0.3125,0.01017173131306965
128763$_$7,V,16,0.5216412864419571,0.25,0.75,0.0001862396796544
128763$_$8,A,8,0.37391585889822176,0.5,0.5,0.0052372068166732
128763$_$8,T,8,0.5530964452648253,0.75,0.25,0.03651035080353415
128763$_$8,V,8,0.49787837018906456,0.75,0.25,0.0008528158068656501
130456$_$11,A,34,0.4731848751288507,0.5882352941176471,0.4117647058823529,0.0002701381842295
130456$_$11,T,34,0.4830460951838335,0.47058823529411764,0.5294117647058824,0.0057878096898396
130456$_$11,V,34,0.4280386604457976,0.47058823529411764,0.5294117647058824,0.00026253362496689997
130456$_$3,A,19,0.3538691977251916,0.5263157894736842,0.47368421052631576,0.000647614399592
130456$_$3,T,19,0.6108563026528679,0.5789473684210527,0.42105263157894735,0.0211289922396341
130456$_$3,V,14,0.5221874433272901,0.42857142857142855,0.5714285714285714,0.0001558760801951
130456$_$4,A,23,0.3895986953761476,0.6086956521739131,0.391304347826087,0.0008425861597061
130456$_$4,T,23,0.4679031403327954,0.4782608695652174,0.4782608695652174,0.0037701452771822
130456$_$4,V,23,0.47351225537925895,0.8260869565217391,0.17391304347826086,0.0003591949741045
130456$_$5,A,11,0.481952326480549,0.6363636363636364,0.36363636363636365,0.0027805094917615
130456$_$5,T,11,0.506602546344403,0.6363636363636364,0.36363636363636365,0.0350385705629984
130456$_$5,V,11,0.4973570008439129,0.6363636363636364,0.36363636363636365,0.0011149148146311
130456$_$6,A,33,0.4434327532202913,0.3939393939393939,0.6060606060606061,0.0006536493698755
130456$_$6,T,33,0.468907238627588,0.7575757575757576,0.24242424242424243,0.0146602739890416
130456$_$6,V,33,0.41156020537048477,0.45454545454545453,0.5454545454545454,0.0002734015385309
130456$_$7,A,8,0.5200318611889893,0.25,0.75,0.0051383425792058
130456$_$7,T,8,0.5981505136294895,0.75,0.25,0.04918217162291205
130456$_$7,V,8,0.4415230866858607,0.625,0.375,0.0017863710721333
188343$_$12,A,30,0.37852607657842097,0.5666666666666667,0.36666666666666664,0.00015799701213835
188343$_$12,T,30,0.8063259488764694,0.4666666666666667,0.5333333333333333,0.003946279486020349
188343$_$12,V,30,0.44122596081533777,0.43333333333333335,0.43333333333333335,0.0001283884048461
188343$_$13,A,42,0.3818032335755045,0.5,0.5,0.00058833261330915
188343$_$13,T,42,0.5788284285709615,0.5238095238095238,0.47619047619047616,0.015033081173896751
188343$_$13,V,42,0.3960010952308019,0.5476190476190477,0.4523809523809524,0.00018544246753055
188343$_$5,A,20,0.29254127183189954,0.4,0.6,0.0012770593166351002
188343$_$5,T,20,0.4821505306688943,0.55,0.45,0.022472264866034153
188343$_$5,V,20,0.568914544498911,0.5,0.35,0.0004117166002591
188343$_$8,A,21,0.4763202818398961,0.42857142857142855,0.5238095238095238,0.0006140271822611
188343$_$8,T,21,0.5800866599151898,0.5714285714285714,0.42857142857142855,0.0250714917977651
188343$_$8,V,21,0.49716224099141604,0.5238095238095238,0.47619047619047616,0.0003589987754821
188343$_$9,A,30,0.3499943082622138,0.4,0.6,0.0010503937179843
188343$_$9,T,30,0.5869672202318746,0.5,0.5,0.03083041217178105
188343$_$9,V,30,0.3899363811488512,0.6,0.4,0.0005662736172477
1HK7Nea0PFo$_$1,A,17,0.5064449251646831,0.7058823529411765,0.29411764705882354,0.0011352797349294
