sample_id,semantic_status,stage,fraction
-UuX1xuaiiE$_$6,MATCH_STRONG,Stage 3,1.0
-a55Q6RWvTA$_$3,MATCH_STRONG,Stage 3,1.0
-aNfi7CP8vM$_$7,MATCH_STRONG,Stage 3,1.0
-aqamKhZ1Ec$_$0,MATCH_STRONG,Stage 3,0.86
-dxfTGcXJoc$_$0,MATCH_STRONG,Stage 3,1.0
-dxfTGcXJoc$_$1,MATCH_STRONG,Stage 3,1.0
-dxfTGcXJoc$_$2,MATCH_STRONG,Stage 3,1.0
-dxfTGcXJoc$_$6,MATCH_STRONG,Stage 3,1.0
-egA8-b7-3M$_$1,MATCH_STRONG,Stage 3,1.0
-egA8-b7-3M$_$13,MATCH_STRONG,Stage 3,0.98
-egA8-b7-3M$_$16,MATCH_STRONG,Stage 3,1.0
-egA8-b7-3M$_$17,MATCH_STRONG,Stage 3,0.68
-egA8-b7-3M$_$18,MATCH_STRONG,Stage 3,1.0
-egA8-b7-3M$_$20,MATCH_STRONG,Stage 3,0.98
-egA8-b7-3M$_$26,MATCH_STRONG,Stage 3,1.0
-egA8-b7-3M$_$6,MATCH_STRONG,Stage 3,1.0
-egA8-b7-3M$_$9,MATCH_STRONG,Stage 3,0.98
-hnBHBN8p5A$_$6,CONFLICT,Stage 3,0.0
-hnBHBN8p5A$_$7,CONFLICT,Stage 3,0.0
-iRBcNs9oI8$_$3,UNRESOLVED,Stage 3,0.0
-iRBcNs9oI8$_$6,UNRESOLVED,Stage 3,0.0
-iRBcNs9oI8$_$7,CONFLICT,Stage 3,0.0
-iRBcNs9oI8$_$8,CONFLICT,Stage 3,0.0
-iRBcNs9oI8$_$9,CONFLICT,Stage 3,0.0
-lzEya4AM_4$_$5,MATCH_STRONG,Stage 3,1.0
-lzEya4AM_4$_$6,MATCH_STRONG,Stage 3,1.0
-mJ2ud6oKI8$_$1,UNRESOLVED,Stage 3,0.0
-mJ2ud6oKI8$_$2,CONFLICT,Stage 3,0.0
-mJ2ud6oKI8$_$6,UNRESOLVED,Stage 3,0.0
-mJ2ud6oKI8$_$8,UNRESOLVED,Stage 3,0.0
-mJ2ud6oKI8$_$9,CONFLICT,Stage 3,0.0
-mqbVkbCndg$_$0,MATCH_STRONG,Stage 3,0.8
-qDkUB0GgYY$_$6,MATCH_STRONG,Stage 3,1.0
-ri04Z7vwnc$_$0,CONFLICT,Stage 3,0.0
-ri04Z7vwnc$_$2,UNRESOLVED,Stage 3,0.0
-ri04Z7vwnc$_$5,CONFLICT,Stage 3,0.0
-s9qJ7ATP7w$_$0,MATCH_STRONG,Stage 3,0.98
-s9qJ7ATP7w$_$1,MATCH_STRONG,Stage 3,0.98
-s9qJ7ATP7w$_$4,MATCH_STRONG,Stage 3,0.98
-s9qJ7ATP7w$_$5,MATCH_STRONG,Stage 3,0.76
-s9qJ7ATP7w$_$6,MATCH_STRONG,Stage 3,0.94
-s9qJ7ATP7w$_$7,MATCH_STRONG,Stage 3,1.0
-s9qJ7ATP7w$_$8,MATCH_STRONG,Stage 3,0.98
-t217m2on-s$_$2,MATCH_STRONG,Stage 3,1.0
-t217m2on-s$_$7,MATCH_STRONG,Stage 3,1.0
-tANM6ETl_M$_$3,MATCH_STRONG,Stage 3,1.0
-tPCytz4rww$_$10,MATCH_STRONG,Stage 3,1.0
-tPCytz4rww$_$11,MATCH_WEAK,Stage 3,1.0
-tPCytz4rww$_$12,MATCH_STRONG,Stage 3,1.0
-tPCytz4rww$_$16,MATCH_STRONG,Stage 3,1.0
-tPCytz4rww$_$18,MATCH_STRONG,Stage 3,1.0
-uywlfIYOS8$_$4,MATCH_STRONG,Stage 3,0.98
-vxjVxOeScU$_$4,UNRESOLVED,Stage 3,0.0
-wMB_hJL-3o$_$7,MATCH_STRONG,Stage 3,1.0
-wny0OAz3g8$_$0,MATCH_STRONG,Stage 3,1.0
-wny0OAz3g8$_$1,MATCH_STRONG,Stage 3,1.0
-wny0OAz3g8$_$2,MATCH_STRONG,Stage 3,0.98
-wny0OAz3g8$_$3,MATCH_STRONG,Stage 3,1.0
-wny0OAz3g8$_$5,MATCH_STRONG,Stage 3,0.98
-wny0OAz3g8$_$7,MATCH_STRONG,Stage 3,1.0
-wny0OAz3g8$_$9,MATCH_STRONG,Stage 3,0.98
-yRb-Jum7EQ$_$1,MATCH_WEAK,Stage 3,0.9
-yRb-Jum7EQ$_$5,MATCH_WEAK,Stage 3,0.82
-yRb-Jum7EQ$_$6,MATCH_STRONG,Stage 3,0.48
