sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-dxfTGcXJoc$_$1,-dxfTGcXJoc,0,"[""0:0"",""1:1""]",mouth_landmarks_62_66_over_48_54,402,0.378991254860597,0.16,26,0.116778583927091,0.2721753037143085,1.0,0.037037037037037,1,
-dxfTGcXJoc$_$2,-dxfTGcXJoc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,417,0.2411507173189037,0.16,26,0.0850393278890211,0.2117073589824573,1.0,0.037037037037037,1,
-dxfTGcXJoc$_$6,-dxfTGcXJoc,0,"[""0:0"",""1:1""]",mouth_landmarks_62_66_over_48_54,317,0.1574503910689092,0.12,26,0.1219546948339549,0.2478802213616485,0.6538461538461539,0.3703703703703703,1,
-egA8-b7-3M$_$1,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,256,0.0127806208965602,0.2,26,0.073145396044761,0.2363574416069556,0.3076923076923077,0.7037037037037037,1,
-egA8-b7-3M$_$13,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,103,0.3427232644779306,0.2,26,0.1463513209670465,0.4645471276446442,0.8076923076923077,0.2222222222222222,1,
-egA8-b7-3M$_$16,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,139,-0.1832517347840152,0.12,24,-0.0672808018032825,0.2651348207639593,0.2083333333333333,0.8,1,
-egA8-b7-3M$_$17,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,180,0.064401369038527,0.08,26,0.1395040959353877,0.3259118909201594,0.2692307692307692,0.7407407407407407,1,
-egA8-b7-3M$_$18,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,209,0.2637736320264328,0.16,26,0.1818139484397286,0.4157388241180345,0.6153846153846154,0.4074074074074074,1,
-egA8-b7-3M$_$20,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,164,0.1411844882681674,0.2,25,0.1785256977450124,0.3911694320323296,0.36,0.6538461538461539,1,
-egA8-b7-3M$_$26,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,149,0.417192122739541,0.16,24,0.2171309375506765,0.4412742403150712,0.9166666666666666,0.12,1,
-egA8-b7-3M$_$6,-egA8-b7-3M,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,156,-0.1830817999972372,-0.2,24,0.0298820152400408,0.2936709826316785,0.0416666666666666,0.96,1,
