sample_id,sample_index,modality,Formal,Stage 2,Stage 3,change_pp,stage3_increment_pp
-hnBHBN8p5A$_$7,54,V,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8$_$3,55,A,1.0,0.0,0.0,-100.0,0.0
-iRBcNs9oI8$_$3,55,T,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8$_$3,55,V,0.98,0.98,0.98,0.0,0.0
-iRBcNs9oI8$_$6,56,A,1.0,0.0,0.0,-100.0,0.0
-iRBcNs9oI8$_$6,56,T,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8$_$6,56,V,1.0,1.0,1.0,0.0,0.0
-iRBcNs9oI8$_$7,57,A,1.0,0.0,0.0,-100.0,0.0
-iRBcNs9oI8$_$7,57,T,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8$_$7,57,V,1.0,1.0,1.0,0.0,0.0
-iRBcNs9oI8$_$8,58,A,1.0,0.0,0.0,-100.0,0.0
-iRBcNs9oI8$_$8,58,T,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8$_$8,58,V,0.98,0.98,0.98,0.0,0.0
-iRBcNs9oI8$_$9,59,A,1.0,0.0,0.0,-100.0,0.0
-iRBcNs9oI8$_$9,59,T,0.0,0.0,0.0,0.0,0.0
-iRBcNs9oI8$_$9,59,V,0.0,0.0,0.0,0.0,0.0
-lzEya4AM_4$_$5,60,A,1.0,1.0,1.0,0.0,0.0
-lzEya4AM_4$_$5,60,T,0.82,0.82,0.82,0.0,0.0
-lzEya4AM_4$_$5,60,V,1.0,1.0,1.0,0.0,0.0
-lzEya4AM_4$_$6,61,A,1.0,1.0,1.0,0.0,0.0
-lzEya4AM_4$_$6,61,T,0.96,0.96,0.96,0.0,0.0
-lzEya4AM_4$_$6,61,V,0.0,0.64,0.94,94.0,29.999999999999993
-mJ2ud6oKI8$_$1,62,A,1.0,0.0,0.0,-100.0,0.0
-mJ2ud6oKI8$_$1,62,T,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$1,62,V,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$2,63,A,1.0,0.0,0.0,-100.0,0.0
-mJ2ud6oKI8$_$2,63,T,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$2,63,V,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$6,64,A,1.0,0.0,0.0,-100.0,0.0
-mJ2ud6oKI8$_$6,64,T,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$6,64,V,1.0,1.0,1.0,0.0,0.0
-mJ2ud6oKI8$_$8,65,A,1.0,0.0,0.0,-100.0,0.0
-mJ2ud6oKI8$_$8,65,T,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$8,65,V,1.0,1.0,1.0,0.0,0.0
-mJ2ud6oKI8$_$9,66,A,1.0,0.0,0.0,-100.0,0.0
-mJ2ud6oKI8$_$9,66,T,0.0,0.0,0.0,0.0,0.0
-mJ2ud6oKI8$_$9,66,V,0.0,0.0,0.0,0.0,0.0
-mqbVkbCndg$_$0,67,A,1.0,0.8,0.8,-19.999999999999996,0.0
-mqbVkbCndg$_$0,67,T,0.9,0.9,0.9,0.0,0.0
-mqbVkbCndg$_$0,67,V,1.0,1.0,1.0,0.0,0.0
-qDkUB0GgYY$_$6,68,A,1.0,1.0,1.0,0.0,0.0
-qDkUB0GgYY$_$6,68,T,0.78,0.78,0.78,0.0,0.0
-qDkUB0GgYY$_$6,68,V,1.0,1.0,1.0,0.0,0.0
-ri04Z7vwnc$_$0,69,A,1.0,0.0,0.0,-100.0,0.0
-ri04Z7vwnc$_$0,69,T,0.0,0.0,0.0,0.0,0.0
