sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage
-UacrmKiTn4$_$10,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.2700473611111107,0.1954465277777775,0.2551705555555553,0.3726342569444438,0.6306616666666662,1.0,1.0
-UacrmKiTn4$_$4,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,14,1.0,0.2501267241379314,0.1628989224137933,0.1934971982758623,0.2331042025862068,0.3472713362068966,1.0,1.0
-UuX1xuaiiE$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,8,0.8888888888888888,0.2224228603603604,0.2320416666666668,0.2485143581081083,0.2655862049549549,0.3946661036036036,0.8888888888888888,1.0
-UuX1xuaiiE$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,23,0.8518518518518519,0.29455078125,0.2003242187499999,0.2620234374999999,0.4005585937499996,0.6394687499999998,0.8518518518518519,1.0
-UuX1xuaiiE$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,9,1.0,0.2897944999999999,0.1877944999999998,0.2564129999999999,0.3091590499999999,0.5997469999999998,1.0,1.0
-UuX1xuaiiE$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.2517154605263165,0.2035444078947371,0.2565308388157897,0.349159292763158,1.126738486842105,1.0,1.0
-a55Q6RWvTA$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,65,1.0,0.2455154662554419,0.1819540547895499,0.2297829281567454,0.3941576242743073,1.2743198929608113,1.0,1.0
-aNfi7CP8vM$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.2983824013157901,0.2359694548872175,0.2877585173872183,0.43672461818609,0.7693201362781945,1.0,1.0
-aqamKhZ1Ec$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,13,0.9285714285714286,0.3800884955752206,0.2401551438053095,0.3101218196902655,1.0951337112831865,1.936857300884956,0.9285714285714286,1.0
-dxfTGcXJoc$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,40,1.0,0.2815954670329681,0.1963337912087914,0.2581775902668759,0.3977012215463094,0.657071624803768,1.0,1.025
-dxfTGcXJoc$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,36,1.0,0.3343843749999999,0.2106856249999991,0.2718756249999992,0.4177478125,0.6462849999999989,1.0,1.0
-dxfTGcXJoc$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,34,1.0,0.2808423651252418,0.1581680515414274,0.2574263457369952,0.3638593147880547,0.5928252047206204,1.0,1.0
-dxfTGcXJoc$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,27,1.0,0.2718590577411168,0.215253727791878,0.2327248572335023,0.400787484137055,0.622130155456853,1.0,1.0
-egA8-b7-3M$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,20,1.0,0.2561930379746839,0.1794517405063298,0.2469380933544311,0.4098380340189875,0.8365356012658234,1.0,1.0
-egA8-b7-3M$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,11,1.0,0.2905564999999999,0.2191414999999996,0.260399,0.4137002499999995,0.9635004999999996,1.0,1.0
-egA8-b7-3M$_$16,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,11,1.0,0.2738911764705882,0.1765676470588237,0.2180205882352934,0.3326176470588236,0.4827323529411766,1.0,1.0
-egA8-b7-3M$_$17,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,16,1.0,0.3181397058823527,0.2671397058823526,0.3008110859728504,0.4440699943438912,0.6448518099547504,1.0,1.0
-egA8-b7-3M$_$18,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.2521001945525287,0.1764422422178987,0.255528331712062,0.3813941147859923,0.6548827821011667,1.0,1.0
-egA8-b7-3M$_$20,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,20,1.0,0.2448474813432837,0.1981545398009952,0.2195413168532339,0.3173947061567168,0.6484530472636818,1.0,1.0
-egA8-b7-3M$_$26,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,15,1.0,0.2684448029891308,0.2048435801630441,0.2382975543478261,0.3490522078804348,0.6087272418478262,1.0,1.0
-egA8-b7-3M$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.2698658854166663,0.1691562500000001,0.2656101888020833,0.3600890950520833,0.5206715494791667,1.0,1.0
-egA8-b7-3M$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,10,1.0,0.3230196078431377,0.2082573529411768,0.2941047794117649,0.3908520220588239,0.5304313725490202,1.0,1.0
