sample_id,video_id,episode_a,face_id_a,episode_b,face_id_b,cosine_similarity,episode_a_valid_embeddings,episode_b_valid_embeddings,episode_a_dispersion,episode_b_dispersion
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,0,0,1,1,0.6500895619392395,12,12,0.0727744102478027,0.0009108483791351
-tANM6ETl_M$_$3,-tANM6ETl_M,0,0,1,0,0.9347190260887146,12,12,0.0333384573459625,0.0131362676620483
-tANM6ETl_M$_$3,-tANM6ETl_M,0,0,2,1,-0.0705548226833343,12,1,0.0333384573459625,0.0
-tANM6ETl_M$_$3,-tANM6ETl_M,1,0,2,1,-0.0557071156799793,12,1,0.0131362676620483,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0,0,1,0,0.6946372985839844,12,5,0.0690928101539611,0.1257090866565704
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0,0,2,0,0.1836921274662017,12,1,0.0690928101539611,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0,0,3,0,-0.0064770197495818,12,2,0.0690928101539611,0.110343724489212
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0,0,4,0,0.1654254347085952,12,1,0.0690928101539611,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0,0,5,0,0.6484231948852539,12,5,0.0690928101539611,0.090067833662033
-wMB_hJL-3o$_$7,-wMB_hJL-3o,0,0,6,0,0.7663924694061279,12,1,0.0690928101539611,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,1,0,2,0,0.3179783225059509,5,1,0.1257090866565704,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,1,0,3,0,0.0195384621620178,5,2,0.1257090866565704,0.110343724489212
-wMB_hJL-3o$_$7,-wMB_hJL-3o,1,0,4,0,0.2395738363265991,5,1,0.1257090866565704,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,1,0,5,0,0.6619656085968018,5,5,0.1257090866565704,0.090067833662033
-wMB_hJL-3o$_$7,-wMB_hJL-3o,1,0,6,0,0.6289635896682739,5,1,0.1257090866565704,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,2,0,3,0,0.4738163948059082,1,2,0.0,0.110343724489212
-wMB_hJL-3o$_$7,-wMB_hJL-3o,2,0,4,0,0.5129552483558655,1,1,0.0,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,2,0,5,0,0.2825533449649811,1,5,0.0,0.090067833662033
-wMB_hJL-3o$_$7,-wMB_hJL-3o,2,0,6,0,0.2080610394477844,1,1,0.0,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,3,0,4,0,0.3481127023696899,2,1,0.110343724489212,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,3,0,5,0,0.0806867033243179,2,5,0.110343724489212,0.090067833662033
-wMB_hJL-3o$_$7,-wMB_hJL-3o,3,0,6,0,0.041873462498188,2,1,0.110343724489212,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,4,0,5,0,0.2930534482002258,1,5,0.0,0.090067833662033
-wMB_hJL-3o$_$7,-wMB_hJL-3o,4,0,6,0,0.1845443397760391,1,1,0.0,0.0
-wMB_hJL-3o$_$7,-wMB_hJL-3o,5,0,6,0,0.8056508302688599,5,1,0.090067833662033,0.0
-wny0OAz3g8$_$0,-wny0OAz3g8,0,0,1,0,0.1718280911445617,12,2,0.0656952261924743,0.0130973756313323
-wny0OAz3g8$_$0,-wny0OAz3g8,0,0,2,1,0.0435875467956066,12,12,0.0656952261924743,0.0005516111850738
-wny0OAz3g8$_$0,-wny0OAz3g8,0,0,3,2,0.8835961818695068,12,12,0.0656952261924743,0.0369016230106353
-wny0OAz3g8$_$0,-wny0OAz3g8,1,0,2,1,0.1875292956829071,2,12,0.0130973756313323,0.0005516111850738
-wny0OAz3g8$_$0,-wny0OAz3g8,1,0,3,2,0.1476752460002899,2,12,0.0130973756313323,0.0369016230106353
-wny0OAz3g8$_$0,-wny0OAz3g8,2,1,3,2,0.0453022308647632,12,12,0.0005516111850738,0.0369016230106353
-wny0OAz3g8$_$1,-wny0OAz3g8,0,0,1,0,0.1656984239816665,12,2,0.0364180207252502,0.0096113681793212
-wny0OAz3g8$_$1,-wny0OAz3g8,0,0,2,0,0.1404500305652618,12,7,0.0364180207252502,0.0254953503608703
-wny0OAz3g8$_$1,-wny0OAz3g8,0,0,3,0,0.1250655800104141,12,7,0.0364180207252502,0.0987107753753662
-wny0OAz3g8$_$1,-wny0OAz3g8,0,0,4,1,0.9394010305404664,12,12,0.0364180207252502,0.0684968531131744
-wny0OAz3g8$_$1,-wny0OAz3g8,0,0,5,2,0.1675608903169632,12,2,0.0364180207252502,0.0122448205947875
-wny0OAz3g8$_$1,-wny0OAz3g8,0,0,6,2,0.8895067572593689,12,11,0.0364180207252502,0.0270925760269165
-wny0OAz3g8$_$1,-wny0OAz3g8,1,0,2,0,0.9687488079071044,2,7,0.0096113681793212,0.0254953503608703
-wny0OAz3g8$_$1,-wny0OAz3g8,1,0,3,0,0.8900196552276611,2,7,0.0096113681793212,0.0987107753753662
-wny0OAz3g8$_$1,-wny0OAz3g8,1,0,4,1,0.1606625616550445,2,12,0.0096113681793212,0.0684968531131744
-wny0OAz3g8$_$1,-wny0OAz3g8,1,0,5,2,0.9982945322990416,2,2,0.0096113681793212,0.0122448205947875
-wny0OAz3g8$_$1,-wny0OAz3g8,1,0,6,2,0.1392181813716888,2,11,0.0096113681793212,0.0270925760269165
-wny0OAz3g8$_$1,-wny0OAz3g8,2,0,3,0,0.9107188582420348,7,7,0.0254953503608703,0.0987107753753662
-wny0OAz3g8$_$1,-wny0OAz3g8,2,0,4,1,0.1430500149726867,7,12,0.0254953503608703,0.0684968531131744
-wny0OAz3g8$_$1,-wny0OAz3g8,2,0,5,2,0.9693524837493896,7,2,0.0254953503608703,0.0122448205947875
-wny0OAz3g8$_$1,-wny0OAz3g8,2,0,6,2,0.1238011419773101,7,11,0.0254953503608703,0.0270925760269165
-wny0OAz3g8$_$1,-wny0OAz3g8,3,0,4,1,0.1177554056048393,7,12,0.0987107753753662,0.0684968531131744
-wny0OAz3g8$_$1,-wny0OAz3g8,3,0,5,2,0.8909252285957336,7,2,0.0987107753753662,0.0122448205947875
-wny0OAz3g8$_$1,-wny0OAz3g8,3,0,6,2,0.1193156391382217,7,11,0.0987107753753662,0.0270925760269165
-wny0OAz3g8$_$1,-wny0OAz3g8,4,1,5,2,0.162271037697792,12,2,0.0684968531131744,0.0122448205947875
-wny0OAz3g8$_$1,-wny0OAz3g8,4,1,6,2,0.8830758333206177,12,11,0.0684968531131744,0.0270925760269165
-wny0OAz3g8$_$1,-wny0OAz3g8,5,2,6,2,0.14154914021492,2,11,0.0122448205947875,0.0270925760269165
-wny0OAz3g8$_$2,-wny0OAz3g8,0,0,1,0,0.8633501529693604,12,12,0.0343881845474243,0.0295892655849456
-wny0OAz3g8$_$2,-wny0OAz3g8,0,0,2,1,0.1387856900691986,12,6,0.0343881845474243,0.021165132522583
-wny0OAz3g8$_$2,-wny0OAz3g8,0,0,3,1,0.9051228165626526,12,12,0.0343881845474243,0.07918581366539
-wny0OAz3g8$_$2,-wny0OAz3g8,0,0,4,1,0.0870472565293312,12,1,0.0343881845474243,0.0
-wny0OAz3g8$_$2,-wny0OAz3g8,1,0,2,1,0.1536149680614471,12,6,0.0295892655849456,0.021165132522583
-wny0OAz3g8$_$2,-wny0OAz3g8,1,0,3,1,0.902018904685974,12,12,0.0295892655849456,0.07918581366539
