sample_id,modality,D,phi_class,phi_score_raw,observed
112433$_$3,T,0.31081029772758484,0.4679642915725708,-0.9412061447898545,32
112433$_$3,A,0.02190012733141581,0.023927614092826843,0.041076665123303685,32
112433$_$3,V,0.039050390323003135,0.06094537675380707,-0.26404054711262387,32
112433$_$7,T,0.15546231468518576,0.2393789142370224,-0.38768182198206586,9
112433$_$7,A,0.04898536205291748,0.07392154633998871,-0.21992025772730506,9
112433$_$7,V,0.081736554702123,0.10879015922546387,-0.33231745163599646,9
112433$_$6,T,0.3582177485028903,0.5300551205873489,-1.2305349260568617,24
112433$_$6,A,0.013816535472869873,0.02918355166912079,-0.019932791590690592,24
112433$_$6,V,0.050325651963551835,0.07558533549308777,-0.3417513966560363,24
117tQqLjza4$_$6,T,0.2357490137219429,0.27323227624098456,0.5798155988256136,15
117tQqLjza4$_$6,A,0.0427402729789416,-0.0032281478246053083,0.056243250767389924,15
117tQqLjza4$_$6,V,0.049770762523015336,-0.012031649549802143,-0.27956680705149967,15
11j7EfglCAs$_$2,T,0.1289223013445735,0.1887440780798594,0.4652934925009806,24
11j7EfglCAs$_$2,A,0.012725790962576866,0.019986833135286968,-0.037686261037985475,24
11j7EfglCAs$_$2,V,0.0300680644189318,0.03325816492239634,-0.36621778147915995,16
121128$_$10,T,0.09150909632444382,0.03939915200074513,0.3940549033383528,15
121128$_$10,A,0.003995152190327644,-0.05932783583799998,-0.10794416566689809,15
121128$_$10,V,0.013922146211067837,-0.041365484396616616,-0.1813078907628854,15
121128$_$1,T,0.17587941388289133,0.26090635359287256,0.6167011062304179,29
121128$_$1,A,0.014015235006809235,0.024953484535217285,0.005313242475191753,29
121128$_$1,V,0.00731078286965688,0.03198675811290741,-0.1594772388537725,29
121128$_$0,T,0.24248765408992767,0.4260575473308563,0.3431230504065752,11
121128$_$0,A,0.03615164663642645,-0.01458132266998291,0.0817486010491848,11
121128$_$0,V,0.02409780273834864,0.050764769315719604,-0.20788889937102795,11
121128$_$5,T,0.3677803948521614,0.39179084201653797,1.6872280339399974,7
121128$_$5,A,0.03904720147450765,0.010907163222630814,0.07358602682749428,7
121128$_$5,V,0.014581561088562012,-0.03919526437918345,-0.1943778892358144,7
125344$_$0,T,0.1350060241917769,0.18018185595671332,-0.46158876518408454,48
125344$_$0,A,0.019360408186912537,0.03767716387907664,-0.010413671533266694,48
125344$_$0,V,0.0507868193089962,-0.019211371739705402,0.39451706906159717,14
125676$_$0,T,0.19953110752006373,0.22673117617766061,0.3861064041654269,13
125676$_$0,A,0.034708077708880104,-0.015757759412129722,-0.009163924803336465,13
125676$_$0,V,0.040059030055999756,-0.018813764055569962,0.08865264678994814,13
125676$_$4,T,0.2861673207953572,0.3373996863762537,0.9728259506324927,27
125676$_$4,A,0.05193797747294108,0.028829182187716164,0.03793595048288506,27
125676$_$4,V,0.03223292529582977,-0.009705235560735066,0.02275367143253485,27
128059$_$11,T,0.3495315710703532,0.5064381857713063,-1.1625839161376157,38
128059$_$11,A,0.013909469048182169,0.01896919806798299,-0.029997768501440737,38
128059$_$11,V,0.0600317120552063,0.09044339259465534,-0.3489741968611877,38
128059$_$12,T,0.42553040012717247,0.5754423836867014,-1.4708307658632598,16
128059$_$12,A,0.01966869831085205,0.004202599326769511,0.11376363287369404,16
128059$_$12,V,0.01761448383331299,0.03931280473868052,-0.0986693849166234,15
128059$_$2,T,0.27316517134507495,0.4192949583133061,-0.8022815038760502,14
128059$_$2,A,0.021795928478240967,0.034040500720341996,-0.08068044980367024,14
128059$_$2,V,0.08667587240537009,0.12781945367654163,-0.4037090887626012,14
128059$_$7,T,0.18630678517123064,0.3037131677071253,0.2594817516704401,48
128059$_$7,A,0.012501748278737068,0.013379732767740887,0.010432533298929538,48
128059$_$7,V,0.048929444824655846,0.06434022883574167,-0.31167552682260674,48
128059$_$6,T,0.41896601766347885,0.46828217804431915,1.4407736659049986,48
128059$_$6,A,0.030136585235595703,-0.021933585405349725,-0.0070473402738571184,48
128059$_$6,V,0.02854365110397339,-0.10643921792507172,-0.2766757160425186,48
128059$_$9,T,0.10202187423904738,0.037395055095354714,0.4372705891728401,22
128059$_$9,A,0.04002142200867335,0.016678283611933388,-0.015778817236423485,22
128059$_$9,V,0.0906550424794356,-0.150867556532224,-0.4952590614557265,22
128763$_$12,T,0.06291227787733078,0.02050565679868062,0.17335219432910287,18
128763$_$12,A,0.0276871956884861,-0.0828193227450053,-0.26727217311660445,18
128763$_$12,V,0.057663888980944954,0.03191473086675008,-0.15184150512019792,18
128763$_$3,T,0.325467512011528,0.4962483594814936,-1.2152168850104013,24
128763$_$3,A,0.035907248655954994,0.06358324984709421,-0.16713632146517432,24
128763$_$3,V,0.035074690977732345,0.07462255160013834,-0.3619963924090067,24
128763$_$2,T,0.27194565286238986,0.3887914568185806,0.5857617507378261,12
128763$_$2,A,0.023427429298559826,0.05797524750232696,-0.15494810541470846,12
128763$_$2,V,0.028261912365754448,0.03862378001213074,-0.3198296477397282,12
128763$_$5,T,0.16905471185843152,0.17303072909514108,0.7304300566514332,10
128763$_$5,A,0.028346223135789234,0.055547500650088,-0.050995389620463044,10
128763$_$5,V,0.019343396027882893,0.03452302018801371,-0.23206240932146707,10
128763$_$7,T,0.3199621190627416,0.49627635876337683,-1.0614769508441286,16
128763$_$7,A,0.036777754624684654,0.060711527864138276,-0.22581257422765094,16
128763$_$7,V,0.036930968364079796,0.07048674921194711,-0.3107646455367406,16
128763$_$8,T,0.04238641758759817,0.08625680704911548,0.009249843657016761,8
128763$_$8,A,0.05388542016347249,0.07739241917928058,-0.2740037254989147,8
128763$_$8,V,0.07601067423820496,0.09305596848328908,-0.4764426313340664,8
130456$_$11,T,0.37994034339984256,0.5659932444492976,-1.2512636557221413,34
130456$_$11,A,0.013325581947962442,0.029886762301127114,-0.014613494277000408,34
130456$_$11,V,0.029008179903030396,0.060611660281817116,-0.155356265604496,34
130456$_$3,T,0.32774189541426796,0.4443524877230326,-1.091002493786315,19
130456$_$3,A,0.016902953386306763,0.02399374047915141,0.04354328274105985,19
130456$_$3,V,0.011811931927998861,0.02546576658884684,-0.060560975379000064,14
130456$_$5,T,0.08834223945935568,0.09430790940920511,0.5028298695882161,11
130456$_$5,A,0.04711386561393738,0.09740364054838815,-0.04712517062822977,11
130456$_$5,V,0.04004957775274912,0.08135142425696054,-0.14751220742861432,11
130456$_$4,T,0.2565489088495572,0.4141432146231333,0.5204248602191608,23
130456$_$4,A,0.0399217481414477,0.0866165409485499,0.002210358778635655,23
130456$_$4,V,0.03083606312672297,0.06918885807196298,-0.030027595659097038,23
130456$_$7,T,0.3322271431485812,0.4665607760349909,-1.0693420941631,8
130456$_$7,A,0.03111162781715393,-0.02166724701722463,0.2336788599689801,8
130456$_$7,V,0.03638402124245962,0.06500385204950967,0.0017814983924229547,8
130456$_$6,T,0.2862794188161691,0.4278651177883148,-0.8048872488240402,33
130456$_$6,A,0.020601987838745117,0.03342847526073456,0.030467708905537932,33
130456$_$6,V,0.023325800895690918,0.04572989046573639,-0.12512201691667238,33
188343$_$13,T,0.20189044872919717,0.32282046476999915,-0.4693931192159652,42
188343$_$13,A,0.05662428836027781,0.08532930413881937,-0.19724830985069275,42
188343$_$13,V,0.06744878987471263,0.10121844212214151,-0.2746546119451522,42
188343$_$12,T,0.37450052301088965,0.5520691871643066,-1.5339675347010293,30
188343$_$12,A,0.03217262029647827,0.06894847750663757,-0.2273204276959101,30
188343$_$12,V,0.02312988042831421,0.0600440502166748,-0.19705864290396372,30
188343$_$5,T,0.06830581277608871,0.09582759439945221,-0.17431343843539554,20
188343$_$5,A,0.025537995000680287,0.050620004534721375,-0.04347725709279378,20
188343$_$5,V,0.060851680735747024,0.06865975260734558,-0.2460312818487485,20
188343$_$9,T,0.04072871431708336,0.03666894634564717,0.2254480676104625,30
188343$_$9,A,0.039401810305813946,0.06573088963826497,-0.12898939723769823,30
188343$_$9,V,0.051044504468639694,0.0802394946416219,-0.2109172164152066,30
188343$_$8,T,0.2602480699618657,0.3985833376646042,-0.811339482665062,21
188343$_$8,A,0.04598817229270935,0.08615246415138245,-0.15799446403980255,21
188343$_$8,V,0.05524937311808269,0.08983130753040314,-0.25965362787246704,21
1HK7Nea0PFo$_$1,T,0.15420136600732803,0.14066031575202942,0.4671561693151792,17
1HK7Nea0PFo$_$1,A,0.01686299468080203,-0.090680330991745,-0.09193101028601328,17
1HK7Nea0PFo$_$1,V,0.03036849945783615,-0.022922754287719727,-0.19697624693314236,17
216097$_$1,T,0.27227305620908737,0.3938686102628708,-0.9090615237752595,13
216097$_$1,A,0.0315951406955719,0.05697318911552429,-0.05710973838965099,13
216097$_$1,V,0.05413598815600078,0.09329862892627716,-0.23688161621491108,4
216097$_$2,T,0.1829529465176165,0.3197209040323893,0.33233305501441157,24
216097$_$2,A,0.030757819768041372,0.06037491063276927,-0.18581728202601272,24
216097$_$2,V,0.03634957612181703,-0.011974905927975971,-0.17594015908737975,22
216097$_$5,T,0.016188943137725193,-0.008802066246668495,0.024661914135018972,32
216097$_$5,A,0.0030262917280197144,0.017748643954594925,-0.033582005028923355,32
216097$_$5,V,0.032844080589711666,0.055575688680013016,-0.1266143148144086,27
