scenario,scope,n,no_new_damage,empty_content,original_modality_empty_T,original_modality_empty_A,original_modality_empty_V,duplicate_of,accuracy,macro_f1,weighted_f1,mae,pearson,pearson_reason,symbol_inconsistency_count,symbol_inconsistency_rate,neutral_abs_score_mean,predicted_neutral_abs_score_mean,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_pearson_reason,split,modality,position,rho
TA_rear_0.2,all_samples,728,0,0,0,0,15,,0.5782967032967034,0.5516971121423409,0.5772041432275592,0.6630310329613737,0.5475110566261984,,322,0.4423076923076923,0.4290629544044824,0.2071234177633681,0.037087912087912,0.0261096746079795,0.0214997585862875,0.0607320002941182,,valid,TA,rear,0.2
TA_rear_0.4,all_samples,728,0,0,0,0,15,,0.5302197802197802,0.5052611748269612,0.5342117389669454,0.6742642820182072,0.516053927015061,,333,0.4574175824175824,0.3970704631849556,0.1985374915957163,0.0851648351648352,0.0725456119233591,0.032733007643121,0.0921891299052556,,valid,TA,rear,0.4
TA_rear_0.6,all_samples,728,0,0,0,0,15,,0.5082417582417582,0.4863291684410064,0.5130474171789027,0.7026154792321984,0.4472891177609738,,334,0.4587912087912087,0.3814684959816868,0.2132224985522198,0.1071428571428572,0.0914776183093139,0.0610842048571121,0.1609539391593428,,valid,TA,rear,0.6
TA_rear_0.8,all_samples,728,0,0,0,0,15,,0.4711538461538461,0.4565085295349846,0.4767430042549367,0.7174491048531458,0.4124263769815466,,356,0.489010989010989,0.3313262133616144,0.2318110229292263,0.1442307692307692,0.1212982572153357,0.0759178304780596,0.19581667993877,,valid,TA,rear,0.8
TV_front_0.2,all_samples,728,0,0,0,0,15,,0.603021978021978,0.5640310430650707,0.5931985948092929,0.6649860895805222,0.5647138981547496,,315,0.4326923076923077,0.4615430441867236,0.212526380285536,0.0123626373626374,0.0137757436852496,0.023454815205436,0.043529158765567,,valid,TV,front,0.2
TV_front_0.4,all_samples,728,0,0,0,0,15,,0.5947802197802198,0.549301647829091,0.582412714885463,0.6746148176332629,0.5465552584846639,,324,0.445054945054945,0.4644607698517021,0.1924223397176579,0.0206043956043956,0.0285051389212294,0.0330835432581767,0.0616877984356527,,valid,TV,front,0.4
TV_front_0.6,all_samples,728,0,0,0,0,15,,0.5535714285714286,0.5154505053157584,0.5463097686177009,0.7094314333312418,0.4806549417380681,,344,0.4725274725274725,0.4408759733019194,0.2132016172854048,0.0618131868131868,0.0623562814345619,0.0679001589561556,0.1275881151822485,,valid,TV,front,0.6
TV_front_0.8,all_samples,728,0,0,0,0,15,,0.5178571428571429,0.4955228197905851,0.5208796373210312,0.7365192375081888,0.388077899708973,,359,0.4931318681318681,0.4094540473243282,0.2259288034979019,0.0975274725274725,0.0822839669597352,0.0949879631331026,0.2201651572113436,,valid,TV,front,0.8
TV_middle_0.2,all_samples,728,0,0,0,0,15,,0.5879120879120879,0.5525388267274965,0.5819238153541766,0.664642801366946,0.5616119278059911,,312,0.4285714285714285,0.4719787108529683,0.2221022970847969,0.0274725274725274,0.0252679600228238,0.0231115269918598,0.0466311291143255,,valid,TV,middle,0.2
TV_middle_0.4,all_samples,728,0,0,0,0,15,,0.5837912087912088,0.5521138063789544,0.5805198607041514,0.6614197773342712,0.5452897956359608,,313,0.4299450549450549,0.4254629476977836,0.2021473494225314,0.0315934065934065,0.025692980371366,0.0198885029591849,0.0629532612843558,,valid,TV,middle,0.4
TV_middle_0.6,all_samples,728,0,0,0,0,15,,0.554945054945055,0.529144707963717,0.5563386462380764,0.6810757729984759,0.4968697855532636,,327,0.4491758241758242,0.3855348537554559,0.1987709053279404,0.0604395604395604,0.0486620787866033,0.0395444986233897,0.111373271367053,,valid,TV,middle,0.6
TV_middle_0.8,all_samples,728,0,0,0,0,15,,0.4862637362637362,0.4632029014071535,0.4896484089448342,0.719663546537369,0.4044606244144731,,353,0.4848901098901099,0.3734444687725045,0.2061398697371225,0.1291208791208791,0.1146038853431668,0.0781322721622828,0.2037824325058435,,valid,TV,middle,0.8
TV_rear_0.2,all_samples,728,0,0,0,0,15,,0.570054945054945,0.5428867877796936,0.5689285618626427,0.6635543847457214,0.5484019530358705,,327,0.4491758241758242,0.4273307683470193,0.2021393091203896,0.0453296703296703,0.0349199989706268,0.0220231103706352,0.0598411038844461,,valid,TV,rear,0.2
TV_rear_0.4,all_samples,728,0,0,0,0,15,,0.5343406593406593,0.5133373068623258,0.5400636540088825,0.6755789071147185,0.5163407700455721,,330,0.4532967032967033,0.3950553568315429,0.2029277892152542,0.081043956043956,0.0644694798879945,0.0340476327396322,0.0919022868747445,,valid,TV,rear,0.4
TV_rear_0.6,all_samples,728,0,0,0,0,15,,0.4972527472527472,0.4772705368313077,0.5034011250338467,0.7013415662101009,0.4508932200900298,,329,0.4519230769230769,0.3694508443991451,0.2115592378732207,0.1181318681318681,0.1005362499190126,0.0598102918350147,0.1573498368302868,,valid,TV,rear,0.6
TV_rear_0.8,all_samples,728,0,0,0,0,15,,0.4519230769230769,0.4413834892604281,0.4586489528078067,0.7183001966045844,0.4069102626306752,,354,0.4862637362637362,0.3175260741864685,0.2174570049961817,0.1634615384615385,0.1364232974898923,0.0767689222294982,0.2013327942896414,,valid,TV,rear,0.8
AV_front_0.2,all_samples,728,1,0,0,0,15,,0.614010989010989,0.5761705581388279,0.6045160258932699,0.6428786851398539,0.6070522760384551,,311,0.4271978021978022,0.4591235991430711,0.2033531638911702,0.0013736263736263,0.0016362286114924,0.0013474107647677,0.0011907808818615,,valid,AV,front,0.2
AV_front_0.4,all_samples,728,1,0,0,0,15,,0.6098901098901099,0.5708375535178528,0.5997546916071608,0.6429116245730816,0.6064404222872181,,315,0.4326923076923077,0.4567187067030159,0.2037507887718622,0.0054945054945054,0.0069692332324675,0.0013803501979954,0.0018026346330985,,valid,AV,front,0.4
AV_front_0.6,all_samples,728,1,0,0,0,15,,0.6043956043956044,0.5691596040628841,0.5960459608968376,0.6469305199628522,0.6038372028190221,,316,0.4340659340659341,0.4644019990607732,0.2201869890333101,0.010989010989011,0.0086471826874362,0.005399245587766,0.0044058541012945,,valid,AV,front,0.6
AV_front_0.8,all_samples,728,1,0,0,0,15,,0.6098901098901099,0.5737243094339144,0.6006761297969976,0.64874522887304,0.6018790008167283,,317,0.4354395604395604,0.463525487107488,0.2288014439685042,0.0054945054945054,0.0040824773164059,0.0072139544979538,0.0063640561035883,,valid,AV,front,0.8
AV_middle_0.2,all_samples,728,1,0,0,0,15,,0.614010989010989,0.5765360783336345,0.6046794538839171,0.641808079517252,0.608469339322777,,305,0.4189560439560439,0.4683073865269999,0.2080857702662092,0.0013736263736263,0.0012707084166858,0.0002768051421658,-0.0002262824024603,,valid,AV,middle,0.2
AV_middle_0.4,all_samples,728,1,0,0,0,15,,0.614010989010989,0.5753842002293733,0.6041338675491681,0.6411520387129193,0.609028207844929,,303,0.4162087912087912,0.4715104004059432,0.2183248680118205,0.0013736263736263,0.002422586520947,-0.0003792356621669,-0.0007851509246122,,valid,AV,middle,0.4
AV_middle_0.6,all_samples,728,1,0,0,0,15,,0.6153846153846154,0.576482926306407,0.6051370525154098,0.6434235850910037,0.6068464145142418,,303,0.4162087912087912,0.475635439526978,0.2153186054758565,0.0,0.0013238604439134,0.0018923107159175,0.0013966424060748,,valid,AV,middle,0.6
AV_middle_0.8,all_samples,728,1,0,0,0,15,,0.6098901098901099,0.570567571713453,0.5989671652936724,0.6452361727651506,0.6054312615069262,,306,0.4203296703296703,0.4771561266616513,0.2331900799285564,0.0054945054945054,0.0072392150368674,0.0037048983900643,0.0028117954133904,,valid,AV,middle,0.8
AV_rear_0.2,all_samples,728,0,0,0,0,15,,0.6112637362637363,0.5740473313952758,0.6021438907205982,0.6429389742213291,0.6062126063118887,,308,0.4230769230769231,0.4628392664181656,0.2040420655939415,0.0041208791208791,0.0037594553550446,0.0014076998462428,0.0020304506084279,,valid,AV,rear,0.2
AV_rear_0.4,all_samples,728,0,0,0,0,15,,0.6098901098901099,0.572105670102948,0.6004342951114171,0.6448370456885212,0.6030373013079795,,306,0.4203296703296703,0.4639952123220807,0.2012137973002276,0.0054945054945054,0.0057011166473723,0.003305771313435,0.0052057556123371,,valid,AV,rear,0.4
AV_rear_0.6,all_samples,728,0,0,0,0,15,,0.6085164835164835,0.5706852115442286,0.5986359075944477,0.6474911370389816,0.5999385754620618,,303,0.4162087912087912,0.4739236691504788,0.2118324063577615,0.0068681318681319,0.0071215752060918,0.0059598626638954,0.0083044814582549,,valid,AV,rear,0.6
AV_rear_0.8,all_samples,728,0,0,0,0,15,,0.6126373626373627,0.5762069727229329,0.6032954033925084,0.6512774430294674,0.597188433794116,,304,0.4175824175824176,0.4888877346339818,0.2349144920257718,0.0027472527472527,0.0015998140273875,0.0097461686543812,0.0110546231262006,,valid,AV,rear,0.8
T_front_0.2,all_samples,727,0,0,0,0,28,,0.6657496561210454,0.6080410333129748,0.6558649789297238,0.7066044193190334,0.5731037371858049,,277,0.3810178817056396,0.443448932747109,0.2060524570528699,0.0082530949105914,0.0105772267096682,0.0225321724466426,0.0349979794968958,,test,T,front,0.2
T_front_0.4,all_samples,727,0,0,0,0,28,,0.6272352132049519,0.5644874500915632,0.6159594093102577,0.7380711934519637,0.525853904709203,,285,0.3920220082530949,0.4233845210902369,0.1992520372780253,0.0467675378266849,0.0541308099310797,0.0539989465795729,0.0822478119734977,,test,T,front,0.4
T_front_0.6,all_samples,727,0,0,0,0,28,,0.5832187070151307,0.5327270105198639,0.5796834292245234,0.7713944344519365,0.4849809246953328,,305,0.4195323246217332,0.4092814493673865,0.2111816056072712,0.0907840440165062,0.085891249502779,0.0873221875795456,0.1231207919873679,,test,T,front,0.6
T_front_0.8,all_samples,727,0,0,0,0,28,,0.5419532324621733,0.4976644449016179,0.5438994519796739,0.8085402504408391,0.407703009912697,,333,0.4580467675378267,0.4043800042753544,0.2174115404498475,0.1320495185694635,0.1209538151210251,0.1244680035684483,0.2003987067700037,,test,T,front,0.8
T_middle_0.2,all_samples,727,0,0,0,0,28,,0.6423658872077029,0.5901657196285539,0.6354930080231566,0.7144893537156356,0.5641797811417142,,278,0.3823933975240715,0.4308913963127739,0.1945257036994299,0.0316368638239339,0.028452540394089,0.0304171068432448,0.0439219355409865,,test,T,middle,0.2
T_middle_0.4,all_samples,727,0,0,0,0,28,,0.6176066024759285,0.5684598124623236,0.6124744869048376,0.7320475560799369,0.5505556947376529,,289,0.3975240715268225,0.4059364920411306,0.1882707984683414,0.0563961485557084,0.0501584475603194,0.0479753092075461,0.0575460219450478,,test,T,middle,0.4
T_middle_0.6,all_samples,727,0,0,0,0,28,,0.579092159559835,0.5303967769138535,0.5791688790573662,0.7642278904383528,0.5036572677735608,,298,0.4099037138927097,0.4087247639198941,0.2009800022370745,0.0949105914718019,0.0882214831087895,0.080155643565962,0.1044444489091399,,test,T,middle,0.6
T_middle_0.8,all_samples,727,0,0,0,0,28,,0.5254470426409904,0.4884197842933576,0.5334809464714193,0.7877777446031908,0.4226098147557771,,320,0.4401650618982118,0.3639590237348611,0.1930969173115388,0.1485557083906464,0.1301984757292854,0.1037054977308,0.1854919019269236,,test,T,middle,0.8
T_rear_0.2,all_samples,727,0,0,0,0,28,,0.6162310866574966,0.5705442721190351,0.6128870978517725,0.7291838178035459,0.5310595505903426,,296,0.4071526822558459,0.4257826611445333,0.2156795109246894,0.0577716643741402,0.0480739879036078,0.0451115709311551,0.0770421660923581,,test,T,rear,0.2
T_rear_0.4,all_samples,727,0,0,0,0,28,,0.6107290233837689,0.5684480671479283,0.6105586574269001,0.7332230872090937,0.5205302742935446,,292,0.4016506189821183,0.4160927857443265,0.2116428744125923,0.0632737276478679,0.0501701928747146,0.0491508403367029,0.0875714423891561,,test,T,rear,0.4
T_rear_0.6,all_samples,727,0,0,0,0,28,,0.5557083906464925,0.5197779113176692,0.561574665129233,0.7705855544865006,0.4612770458390963,,320,0.4401650618982118,0.365055372341701,0.2038228493725206,0.1182943603851444,0.0988403487049738,0.0865133076141098,0.1468246708436044,,test,T,rear,0.6
T_rear_0.8,all_samples,727,0,0,0,0,28,,0.4704264099037138,0.444782023193341,0.4806508178293996,0.8146526975284345,0.3811786997400255,,333,0.4580467675378267,0.3478276944451057,0.210229433029056,0.203576341127923,0.1738362368293019,0.1305804506560437,0.2269230169426752,,test,T,rear,0.8
A_front_0.2,all_samples,727,0,0,0,0,28,,0.6698762035763411,0.6143881042206889,0.6596948422287682,0.6843663676325783,0.6062339828441194,,265,0.3645116918844566,0.4452221446222614,0.2045434438084706,0.0041265474552957,0.004230155801954,0.0002941207601875,0.0018677338385812,,test,A,front,0.2
A_front_0.4,all_samples,727,0,0,0,0,28,,0.6685006877579092,0.6129687713317608,0.65876211483372,0.6844385987739533,0.605716347478772,,268,0.3686382393397524,0.4442500503147257,0.212857147979709,0.0055020632737277,0.0056494886908822,0.0003663519015625,0.0023853692039287,,test,A,front,0.4
A_front_0.6,all_samples,727,0,0,0,0,28,,0.6671251719394773,0.6089104460329413,0.6556170586944573,0.6853120941886527,0.6031964183179208,,266,0.3658872077028886,0.4480345903105939,0.2186969430105568,0.0068775790921595,0.0097078139897016,0.0012398473162619,0.0049052983647799,,test,A,front,0.6
A_front_0.8,all_samples,727,0,0,0,0,28,,0.657496561210454,0.5992490948119681,0.6464318070751189,0.6872041917744219,0.6009616559690579,,264,0.3631361760660248,0.4569515693325643,0.2406020756234746,0.0165061898211829,0.0193691652106748,0.0031319449020311,0.0071400607136428,,test,A,front,0.8
A_middle_0.2,all_samples,727,0,0,0,0,28,,0.6753782668500687,0.6182331227122443,0.6640220307098754,0.6841138855719419,0.60752132205554,,262,0.3603851444291609,0.4528522293755336,0.2103093583016367,-0.0013755158184318,0.0003851373103986,4.163869955109423e-05,0.0005803946271607,,test,A,middle,0.2
