sample_id,video_id,position,modality,D,delta_class,delta_score
130456$_$4,130456,22,T,0.0030270392696062722,-0.005757808685302734,0.0017776191234588623
130456$_$4,130456,22,A,0.0008425861597061157,0.001598954200744629,0.0005173087120056152
130456$_$4,130456,22,V,0.0005136579275131226,0.0006213784217834473,-0.002435624599456787
130456$_$4,130456,23,T,0.0016151964664459229,0.0005695223808288574,0.01596522331237793
130456$_$4,130456,23,A,0.0008425861597061157,0.001598954200744629,0.0005173087120056152
130456$_$4,130456,23,V,0.0005136653780937195,0.0006213784217834473,-0.00243571400642395
130456$_$7,130456,1,T,0.0076836446921030675,-0.010949194431304932,-0.026508569717407227
130456$_$7,130456,1,A,0.005138342579205831,-0.006640255451202393,0.021818578243255615
130456$_$7,130456,1,V,0.001786371072133382,-0.0013953447341918945,0.013064384460449219
130456$_$7,130456,2,T,0.019985814889272056,0.022849202156066895,-0.10273456573486328
130456$_$7,130456,2,A,0.0051383475462595625,-0.006640255451202393,0.02181863784790039
130456$_$7,130456,2,V,0.001786371072133382,-0.0013953447341918945,0.013064384460449219
130456$_$7,130456,3,T,0.06849955519040425,0.085357666015625,-0.3098486661911011
130456$_$7,130456,3,A,0.005138342579205831,-0.006640255451202393,0.021818578243255615
130456$_$7,130456,3,V,0.0017864008744557698,-0.00139540433883667,0.013064384460449219
130456$_$7,130456,4,T,0.07751570145289104,0.09998947381973267,-0.3302515745162964
130456$_$7,130456,4,A,0.002703368663787842,-0.0019009709358215332,0.021034598350524902
130456$_$7,130456,4,V,0.0005654146273930867,0.00047004222869873047,0.003964722156524658
130456$_$7,130456,5,T,0.029864788055419922,-0.03985494375228882,0.11924779415130615
130456$_$7,130456,5,A,0.002703348795572917,-0.0019009709358215332,0.0210343599319458
130456$_$7,130456,5,V,0.0005654195944468181,0.00047004222869873047,0.003964781761169434
130456$_$7,130456,6,T,0.019155581792195637,0.029398679733276367,-0.05347490310668945
130456$_$7,130456,6,A,0.002703368663787842,-0.0019009709358215332,0.021034598350524902
130456$_$7,130456,6,V,0.0005654146273930867,0.00047004222869873047,0.003964722156524658
130456$_$7,130456,7,T,0.1797597842911879,0.25971055030822754,-0.5988541096448898
130456$_$7,130456,7,A,0.011285334825515747,0.013543784618377686,-0.05416131019592285
130456$_$7,130456,7,V,0.00279998779296875,0.00209200382232666,-0.02104783058166504
130456$_$7,130456,8,T,0.15173538029193878,0.22658514976501465,-0.4613136649131775
130456$_$7,130456,8,A,0.014203463991483051,0.014393150806427002,-0.08408266305923462
130456$_$7,130456,8,V,0.0027778943379720054,0.0007144808769226074,-0.029047846794128418
130456$_$6,130456,1,T,0.014660273989041645,0.021106064319610596,-0.04928690195083618
130456$_$6,130456,1,A,0.00011628866195678711,-7.128715515136719e-05,-0.0009677410125732422
130456$_$6,130456,1,V,0.0006061544020970662,0.0005183815956115723,-0.004163563251495361
130456$_$6,130456,2,T,0.003262812892595927,0.004006624221801758,-0.015114009380340576
130456$_$6,130456,2,A,0.00011628866195678711,-7.128715515136719e-05,-0.0009677410125732422
130456$_$6,130456,2,V,0.0006061643362045288,0.0005183815956115723,-0.004163682460784912
130456$_$6,130456,3,T,0.025405988097190857,-0.03510540723800659,0.09423941373825073
130456$_$6,130456,3,A,0.00011628866195678711,-7.128715515136719e-05,-0.0009677410125732422
130456$_$6,130456,3,V,0.0006061643362045288,0.0005183815956115723,-0.004163682460784912
130456$_$6,130456,4,T,0.011645212769508362,-0.014858484268188477,0.05059164762496948
130456$_$6,130456,4,A,0.000720118482907613,-0.0004742145538330078,0.0057961344718933105
130456$_$6,130456,4,V,0.0006899535655975342,0.0008210539817810059,-0.003353118896484375
130456$_$6,130456,5,T,0.004193926850954691,0.0037535429000854492,0.027805864810943604
130456$_$6,130456,5,A,0.0003727227449417114,0.0001468062400817871,0.0035918354988098145
130456$_$6,130456,5,V,0.000798766811688741,0.0009616613388061523,-0.0038152337074279785
130456$_$6,130456,6,T,0.0033097515503565473,0.0036774873733520508,-0.01765209436416626
130456$_$6,130456,6,A,0.0006246268749237061,-0.0004419088363647461,0.004844069480895996
130456$_$6,130456,6,V,0.00027340153853098553,0.00048679113388061523,-0.00036007165908813477
130456$_$6,130456,7,T,0.004861935973167419,0.005091190338134766,-0.02779608964920044
130456$_$6,130456,7,A,0.0012361407279968262,-0.0006301403045654297,0.011052846908569336
130456$_$6,130456,7,V,0.0003565847873687744,0.00022995471954345703,0.0028992891311645508
130456$_$6,130456,8,T,0.018297289808591206,-0.022247731685638428,0.08608108758926392
130456$_$6,130456,8,A,0.0007515201965967815,-0.0007028579711914062,0.0048010945320129395
130456$_$6,130456,8,V,0.00012249251206715903,0.0002192854881286621,0.00015419721603393555
130456$_$6,130456,9,T,0.02809920907020569,0.03898495435714722,-0.10328078269958496
130456$_$6,130456,9,A,0.0007515201965967815,-0.0007028579711914062,0.0048010945320129395
130456$_$6,130456,9,V,0.00012250244617462158,0.0002192854881286621,0.00015431642532348633
130456$_$6,130456,10,T,0.021530990799268086,0.02899831533432007,-0.08438199758529663
130456$_$6,130456,10,A,0.0007515201965967815,-0.0007028579711914062,0.0048010945320129395
130456$_$6,130456,10,V,0.00012249251206715903,0.0002192854881286621,0.00015419721603393555
130456$_$6,130456,11,T,0.004590158661206563,0.007447481155395508,-0.010397017002105713
130456$_$6,130456,11,A,0.0007515102624893188,-0.0007028579711914062,0.004800975322723389
130456$_$6,130456,11,V,0.00012250244617462158,0.0002192854881286621,0.00015431642532348633
130456$_$6,130456,12,T,0.041947320103645325,0.061543285846710205,-0.13410812616348267
130456$_$6,130456,12,A,0.00036691129207611084,0.00017243623733520508,-0.0033683180809020996
130456$_$6,130456,12,V,6.107985973358154e-05,-2.9742717742919922e-05,0.000554502010345459
130456$_$6,130456,13,T,0.006463244557380676,0.011085569858551025,-0.011045515537261963
130456$_$6,130456,13,A,0.0009177277485529581,-0.0008287429809570312,0.0060402750968933105
130456$_$6,130456,13,V,0.000534916917483012,-0.0005185604095458984,0.003307640552520752
130456$_$6,130456,14,T,0.008884573976198832,0.012530207633972168,-0.03143364191055298
130456$_$6,130456,14,A,0.0009177277485529581,-0.0008287429809570312,0.0060402750968933105
130456$_$6,130456,14,V,0.000534916917483012,-0.0005185604095458984,0.003307640552520752
130456$_$6,130456,15,T,0.01994455357392629,-0.02930539846420288,0.0635022521018982
130456$_$6,130456,15,A,8.161365985870361e-05,-0.00015592575073242188,4.380941390991211e-05
130456$_$6,130456,15,V,0.00048008064428965247,-0.000644981861114502,0.0018910765647888184
130456$_$6,130456,16,T,0.030447537700335182,-0.0382230281829834,0.13603228330612183
130456$_$6,130456,16,A,0.0003591527541478475,-0.00010180473327636719,0.003699004650115967
130456$_$6,130456,16,V,0.000612407922744751,-0.0006827116012573242,0.0032526254653930664
130456$_$6,130456,17,T,0.020741517345110577,-0.03308606147766113,0.05038183927536011
130456$_$6,130456,17,A,0.0006484935681025188,0.0005630254745483398,-0.0044037699699401855
130456$_$6,130456,17,V,0.0005730986595153809,-0.0006943941116333008,0.0027108192443847656
130456$_$6,130456,18,T,0.01788613200187683,0.02702951431274414,-0.05245649814605713
130456$_$6,130456,18,A,0.0007882118225097656,-0.0002771615982055664,-0.007795572280883789
130456$_$6,130456,18,V,0.0005975514650344849,-0.0008082985877990723,0.0023208260536193848
130456$_$6,130456,19,T,0.03874213000138601,-0.04990983009338379,0.16544657945632935
130456$_$6,130456,19,A,0.0014448165893554688,-0.0012364983558654785,0.009918808937072754
130456$_$6,130456,19,V,0.0003857662280400594,-3.6776065826416016e-05,0.004408538341522217
