sample_id,video_id,episode_key,face_id,episode_id,start,end,frame_count,selected_frame_count,valid_embedding_count,robust_retained_count,dispersion,failures_json
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3:7,3,7,0.0,4.166666666666666,105,12,12,10,0.0218605995178222,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3:8,3,8,4.466666666666667,9.833333333333334,134,12,12,10,0.0340347588062286,[]
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0:0,0,0,0.0,1.2333333333333334,28,12,12,10,0.0611079931259155,[]
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0:1,0,1,3.8333333333333335,4.1,7,7,7,6,0.0275253653526306,[]
-UuX1xuaiiE$_$3,-UuX1xuaiiE,1:2,1,2,0.6333333333333333,3.6666666666666665,76,12,12,10,0.0265747904777526,[]
-UuX1xuaiiE$_$6,-UuX1xuaiiE,0:0,0,0,0.0,0.1666666666666665,5,5,5,4,0.0016475021839141,[]
-UuX1xuaiiE$_$6,-UuX1xuaiiE,1:1,1,1,0.3333333333333333,8.1,192,12,12,10,0.0265385210514068,[]
-a55Q6RWvTA$_$3,-a55Q6RWvTA,0:0,0,0,0.0,22.133333333333333,554,12,12,10,0.045777142047882,[]
-aNfi7CP8vM$_$7,-aNfi7CP8vM,0:0,0,0,0.0,8.666666666666666,215,12,12,10,0.0865419805049896,[]
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0:0,0,0,0.0,10.933333333333334,274,12,12,10,0.0665668249130249,[]
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0:0,0,0,4.5,20.53333333333333,400,12,12,10,0.090948075056076,[]
-dxfTGcXJoc$_$1,-dxfTGcXJoc,0:0,0,0,0.0,16.133333333333333,401,12,12,10,0.0869590640068054,[]
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1:1,1,1,16.03333333333333,16.133333333333333,2,2,2,2,0.0026267766952514,[]
-dxfTGcXJoc$_$2,-dxfTGcXJoc,0:0,0,0,0.0,16.666666666666664,417,12,12,10,0.0759141147136688,[]
-dxfTGcXJoc$_$6,-dxfTGcXJoc,0:0,0,0,0.0,12.433333333333334,311,12,12,10,0.0849955976009368,[]
-dxfTGcXJoc$_$6,-dxfTGcXJoc,1:1,1,1,12.466666666666669,12.733333333333333,6,6,6,5,0.004723846912384,[]
-egA8-b7-3M$_$1,-egA8-b7-3M,0:0,0,0,0.0,10.233333333333333,256,12,12,10,0.0679593980312347,[]
-egA8-b7-3M$_$13,-egA8-b7-3M,0:0,0,0,0.0,4.166666666666666,103,12,12,10,0.0748499929904937,[]
-egA8-b7-3M$_$16,-egA8-b7-3M,0:0,0,0,0.0,5.533333333333333,139,12,12,10,0.0523838996887207,[]
-egA8-b7-3M$_$17,-egA8-b7-3M,0:0,0,0,0.0,7.266666666666667,180,12,12,10,0.0674927532672882,[]
-egA8-b7-3M$_$18,-egA8-b7-3M,0:0,0,0,0.0,8.366666666666667,209,12,12,10,0.0545203983783721,[]
-egA8-b7-3M$_$20,-egA8-b7-3M,0:0,0,0,0.0,6.633333333333333,164,12,12,10,0.0582749545574188,[]
-egA8-b7-3M$_$26,-egA8-b7-3M,0:0,0,0,0.0,5.933333333333334,149,12,12,10,0.0704611837863922,[]
-egA8-b7-3M$_$6,-egA8-b7-3M,0:0,0,0,0.0,6.233333333333333,156,12,12,10,0.053569883108139,[]
-egA8-b7-3M$_$9,-egA8-b7-3M,0:0,0,0,0.0,5.066666666666666,125,12,12,10,0.0651940703392028,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:0,0,0,0.0,0.7924555555555554,19,12,12,10,0.0886494219303131,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:1,0,1,1.334666666666667,3.4200777777777778,43,12,12,10,0.0930201709270477,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:2,0,2,3.6703333333333337,3.920577777777778,5,5,5,4,0.0329992771148681,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:3,0,3,4.421077777777778,4.546211111111111,3,0,0,0,,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:4,0,4,6.089411111111112,6.131122222222222,1,0,0,0,,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1:5,1,5,1.001,1.0427111111111111,1,1,1,1,0.0,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1:6,1,6,4.004,4.087411111111111,2,2,2,2,0.0314989984035491,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0:0,0,0,0.2085444444444444,0.2919555555555556,2,2,2,2,0.0738276541233062,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0:1,0,1,0.6673333333333333,0.8758777777777775,5,5,5,4,0.0173053443431854,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0:2,0,2,3.461788888888889,4.963288888888889,36,12,12,10,0.0797824263572692,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0:3,0,3,5.422088888888889,5.463788888888889,1,0,0,0,,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,1:4,1,4,1.2095444444444443,1.8768777777777776,14,12,12,10,0.1047167778015136,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,1:5,1,5,5.005,5.046711111111111,1,1,1,1,0.0,[]
-hnBHBN8p5A$_$7,-hnBHBN8p5A,1:6,1,6,5.755755555555556,7.340666666666666,38,12,12,10,0.0728332102298736,[]
-iRBcNs9oI8$_$3,-iRBcNs9oI8,0:0,0,0,0.0,5.605600000000001,140,12,12,10,0.0905602276325225,[]
-iRBcNs9oI8$_$6,-iRBcNs9oI8,0:0,0,0,0.0,2.869533333333333,72,12,12,10,0.0588151812553405,[]
-iRBcNs9oI8$_$7,-iRBcNs9oI8,0:0,0,0,0.0,4.070733333333334,101,12,12,10,0.0450932383537292,[]
-iRBcNs9oI8$_$8,-iRBcNs9oI8,0:0,0,0,0.0,8.008000000000001,201,12,12,10,0.0547187030315399,[]
-iRBcNs9oI8$_$9,-iRBcNs9oI8,0:0,0,0,0.0,0.5338666666666667,13,12,12,10,0.0199606120586395,[]
-iRBcNs9oI8$_$9,-iRBcNs9oI8,0:1,0,1,1.5682333333333334,3.4034000000000004,45,12,12,10,0.0572289824485778,[]
-lzEya4AM_4$_$5,-lzEya4AM_4,0:0,0,0,0.0,7.666666666666666,191,12,12,10,0.0572684407234191,[]
-lzEya4AM_4$_$6,-lzEya4AM_4,0:0,0,0,0.0,2.1333333333333333,50,12,12,10,0.0961345136165618,[]
-lzEya4AM_4$_$6,-lzEya4AM_4,0:1,0,1,2.533333333333333,14.766666666666666,306,12,12,10,0.0742670893669128,[]
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,0:0,0,0,2.9696333333333333,3.336666666666667,9,9,9,8,0.0123528540134429,[]
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,1:1,1,1,3.536866666666667,5.7057,54,4,4,4,0.0113979578018188,[]
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,0:0,0,0,0.0,2.2022,56,12,12,10,0.0442105829715728,[]
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,0:0,0,0,0.0,4.170833333333333,105,12,12,10,0.0376451611518859,[]
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,0:0,0,0,0.0,4.571233333333334,115,12,12,10,0.05303955078125,[]
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,1:1,1,1,4.771433333333333,7.007000000000001,54,12,12,10,0.0670379400253295,[]
-mqbVkbCndg$_$0,-mqbVkbCndg,0:0,0,0,0.0,6.5,162,12,12,10,0.0220115184783935,[]
-qDkUB0GgYY$_$6,-qDkUB0GgYY,0:0,0,0,0.0,4.666666666666666,117,12,12,10,0.0647682249546051,[]
-ri04Z7vwnc$_$2,-ri04Z7vwnc,0:0,0,0,4.004,6.006,47,12,12,10,0.0296290218830108,[]
-ri04Z7vwnc$_$5,-ri04Z7vwnc,0:0,0,0,0.0,3.5035111111111115,83,12,12,10,0.0431565642356872,[]
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0:0,0,0,2.1,2.1666666666666665,2,1,1,1,0.0,[]
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0:1,0,1,3.0,6.866666666666666,94,12,12,10,0.1172800064086914,[]
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,1:2,1,2,0.0,6.866666666666666,170,12,12,10,0.0004509091377258,[]
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,0:0,0,0,0.8,4.766666666666667,97,12,12,10,0.0745775699615478,[]
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1:1,1,1,0.0,4.766666666666667,117,12,12,10,0.0053700506687164,[]
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,0:0,0,0,2.933333333333333,4.266666666666667,33,12,12,10,0.0561165809631347,[]
