sample_id,original_group,current_paired_use,original_ta_issue,original_identity_issue,original_no_face,ctc_diagnostic_wer,ctc_accepted_word_fraction,whisperx_status,whisperx_wer,whisperx_cer,whisperx_word_overlap_f1,ctc_whisperx_common_word_coverage,ctc_whisperx_median_midpoint_difference_s,ctc_whisperx_p90_midpoint_difference_s,permutation_true_similarity,permutation_negative_p95,permutation_true_rank,permutation_empirical_percentile,ta_evidence_level,mfa_status,mfa_alignment_success,mfa_aligned_word_fraction,arcface_episode_count,arcface_valid_embedding_episode_count,arcface_identity_cluster_count_0_60,arcface_partition_stable_0_50_0_60_0_70,arcface_simultaneous_different_clusters,av_sync_real_score,av_sync_null_median,av_sync_null_p95,av_sync_empirical_percentile,av_sync_top1_top2_margin,talknet_status,talknet_logit,talknet_speaking_frame_fraction,talknet_selected_valid_episode_count,talknet_selected_frame_count,text_audio_candidate_status,vision_candidate_status,trimodal_candidate_status,text_audio_status,vision_status,trimodal_status,vision_evidence_level,releasable_visual_time_ratio,masked_visual_time_ratio,evidence_reason
-iRBcNs9oI8$_$3,text_audio_only_single_episode,0,1,0,0,1.75,0.875,ok,1.75,1.5,0.09090909090909091,0.125,2.98690625,2.98690625,0.0,0.07500000000000002,4,0.425,TA_CONFLICT,skipped_optional_high_cost,,,1,1,1,1,0,0.2991519850264018,0.06713346096523076,0.3797419356013704,0.875,,completed_with_explicit_short_episode_gaps,-0.010068382136523724,0.5289855072463768,1,138,uncertain,verified,uncertain,uncertain,verified,uncertain,V_STRONG,0.833333333333333,0.16666666666666696,CTC and WhisperX/negative-control evidence do not establish the official pairing; single-episode frozen baseline has no identity ambiguity
-iRBcNs9oI8$_$6,text_audio_only_single_episode,0,1,0,0,1.8,0.6,ok,1.8,1.875,0.0,0.0,,,0.0,0.08371212121212125,3,0.45,TA_CONFLICT,skipped_optional_high_cost,,,1,1,1,1,0,0.40358794783959373,0.25406083816746045,0.4346634976407307,0.8461538461538461,,completed_with_explicit_short_episode_gaps,0.4010424315929413,0.8,1,70,uncertain,verified,uncertain,uncertain,verified,uncertain,V_STRONG,0.8372093023255816,0.16279069767441845,CTC and WhisperX/negative-control evidence do not establish the official pairing; single-episode frozen baseline has no identity ambiguity
-iRBcNs9oI8$_$7,text_audio_only_single_episode,0,1,0,0,1.2222222222222223,0.5555555555555556,ok,1.2222222222222223,0.8947368421052632,0.09999999999999999,0.1111111111111111,0.13806149193548378,0.13806149193548378,0.0,0.09090909090909094,3,0.45,TA_CONFLICT,skipped_optional_high_cost,,,1,1,1,1,0,0.0839386070716143,0.265588902935301,0.5602201178675527,0.15384615384615385,,completed_with_explicit_short_episode_gaps,0.14651648700237274,0.67,1,100,uncertain,verified,uncertain,uncertain,verified,uncertain,V_STRONG,0.8278688524590163,0.1721311475409837,CTC and WhisperX/negative-control evidence do not establish the official pairing; single-episode frozen baseline has no identity ambiguity
-iRBcNs9oI8$_$8,text_audio_only_single_episode,0,1,0,0,1.0476190476190477,0.47619047619047616,ok,1.0476190476190477,0.958904109589041,0.046511627906976744,0.0,,,0.0,0.04772727272727272,11,0.25,TA_CONFLICT,skipped_optional_high_cost,,,1,1,1,1,0,0.3745203129550522,0.06679772241678991,0.32628342892498846,1.0,,completed_with_explicit_short_episode_gaps,0.19240649044513702,0.6582914572864321,1,199,uncertain,verified,uncertain,uncertain,verified,uncertain,V_STRONG,0.8305785123966939,0.1694214876033061,CTC and WhisperX/negative-control evidence do not establish the official pairing; single-episode frozen baseline has no identity ambiguity
-iRBcNs9oI8$_$9,identity_and_text_audio,0,1,1,0,1.0,1.0,ok,1.0,0.75,0.25,0.2,0.4791729266826925,0.4791729266826925,0.0,0.00500000000000007,2,0.475,TA_CONFLICT,skipped_optional_high_cost,,,2,2,1,1,0,-0.20076237257982332,0.03320670590415693,0.464423822781579,0.11538461538461539,,completed_with_explicit_short_episode_gaps,-0.8765184836728233,0.017857142857142856,2,56,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; ArcFace partition or AV-sync does not uniquely bind the target identity
-lzEya4AM_4$_$6,identity_only,0,0,1,0,0.023255813953488372,1.0,ok,0.023255813953488372,0.01092896174863388,0.988235294117647,0.9767441860465116,0.21704157608695684,0.37106743206521714,0.9767441860465116,0.09523809523809523,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,1,1,0,0.27086205153412124,0.08278261218992303,0.21208450194055317,0.9615384615384616,,completed_with_explicit_short_episode_gaps,0.17973809161882723,0.5702247191011235,2,356,verified,verified,verified,verified,verified,verified,V_STRONG,0.8036117381489816,0.19638826185101843,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace merges all episodes stably and AV-sync exceeds frozen strong null threshold"
-mJ2ud6oKI8$_$1,vision_no_face_and_text_audio,0,1,0,1,1.0,0.23076923076923078,ok,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0.5,TA_CONFLICT,skipped_optional_high_cost,,,0,0,0,1,0,,,,,,completed_with_explicit_short_episode_gaps,,,0,0,uncertain,missing,uncertain,uncertain,missing,uncertain,V_MISSING,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; confirmed automatic no-face condition from frozen OpenFace output
-mJ2ud6oKI8$_$2,identity_and_text_audio,0,1,1,0,1.0,0.2727272727272727,ok,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0.5,TA_CONFLICT,skipped_optional_high_cost,,,2,2,2,1,0,,0.6740750700183611,0.8630597434842634,,,completed_with_explicit_short_episode_gaps,-1.837393045425415,0.0,1,8,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; ArcFace partition or AV-sync does not uniquely bind the target identity
-mJ2ud6oKI8$_$6,text_audio_only_single_episode,0,1,0,0,1.4,0.6,ok,1.4,1.4444444444444444,0.15384615384615385,0.0,,,0.125,0.09261363636363641,1,0.975,TA_CONFLICT,skipped_optional_high_cost,,,1,1,1,1,0,0.4666445102229728,0.12325301341405479,0.4329251956802642,1.0,,completed_with_explicit_short_episode_gaps,-1.4811232089996338,0.0,1,54,uncertain,verified,uncertain,uncertain,verified,uncertain,V_STRONG,0.8358208955223874,0.16417910447761264,CTC and WhisperX/negative-control evidence do not establish the official pairing; single-episode frozen baseline has no identity ambiguity
-mJ2ud6oKI8$_$8,text_audio_only_single_episode,0,1,0,0,1.2727272727272727,0.7272727272727273,ok,1.0909090909090908,0.8181818181818182,0.16666666666666669,0.09090909090909091,0.2584476744186046,0.2584476744186046,0.07692307692307687,0.07932692307692306,2,0.825,TA_CONFLICT,skipped_optional_high_cost,,,1,1,1,1,0,-0.16962990881210066,0.1092934925110769,0.397230746043477,0.0,,completed_with_explicit_short_episode_gaps,-0.08177003264427185,0.4174757281553398,1,103,uncertain,verified,uncertain,uncertain,verified,uncertain,V_STRONG,0.8398983996172996,0.16010160038270038,CTC and WhisperX/negative-control evidence do not establish the official pairing; single-episode frozen baseline has no identity ambiguity
