video_id,official_sample_id,audio_sample_id,is_diagonal,wer,cer,token_precision,token_recall,token_f1,character_similarity,score
-3g5yACwYnA,-3g5yACwYnA$_$9,-3g5yACwYnA$_$13,0,1.0,0.7807017543859649,0.1111111111111111,0.08695652173913043,0.0975609756097561,0.2192982456140351,0.1584296106118956
-3g5yACwYnA,-3g5yACwYnA$_$9,-3g5yACwYnA$_$2,0,1.0,0.7631578947368421,0.13333333333333333,0.08695652173913043,0.10526315789473685,0.23684210526315785,0.17105263157894735
-3g5yACwYnA,-3g5yACwYnA$_$9,-3g5yACwYnA$_$3,0,1.2173913043478262,0.8947368421052632,0.20689655172413793,0.2608695652173913,0.23076923076923075,0.2816901408450704,0.25622968580715055
-3g5yACwYnA,-3g5yACwYnA$_$9,-3g5yACwYnA$_$9,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
-3nNcZdcdvU,-3nNcZdcdvU$_$5,-3nNcZdcdvU$_$5,1,0.05555555555555555,0.03488372093023256,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9655172413793104,0.9549808429118773
-571d8cVauQ,-571d8cVauQ$_$0,-571d8cVauQ$_$0,1,0.08333333333333333,0.01694915254237288,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9830508474576272,0.9498587570621468
-571d8cVauQ,-571d8cVauQ$_$0,-571d8cVauQ$_$5,0,3.8333333333333335,2.7457627118644066,0.06382978723404255,0.25,0.10169491525423728,0.16923076923076918,0.13546284224250324
-571d8cVauQ,-571d8cVauQ$_$5,-571d8cVauQ$_$0,0,0.9767441860465116,0.8232044198895028,0.25,0.06976744186046512,0.10909090909090909,0.17679558011049723,0.14294324460070315
-571d8cVauQ,-571d8cVauQ$_$5,-571d8cVauQ$_$5,1,0.11627906976744186,0.08839779005524862,0.8936170212765957,0.9767441860465116,0.9333333333333332,0.9179487179487179,0.9256410256410256
-6rXp3zJ3kc,-6rXp3zJ3kc$_$8,-6rXp3zJ3kc$_$8,1,0.08823529411764706,0.07352941176470588,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.9315068493150684,0.9371819960861056
-9y-fZ3swSY,-9y-fZ3swSY$_$0,-9y-fZ3swSY$_$0,1,0.43478260869565216,0.34210526315789475,0.7037037037037037,0.8260869565217391,0.76,0.7346938775510203,0.7473469387755102
