sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage,conflict_cause,visual_candidate_status,verified_visual_duration,ambiguous_duration,missing_duration,usable_fraction
-THoVjtIkeU$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,28,0.9333333333333333,0.24062399193548356,0.17402948588709588,0.23541576360887095,0.3838939894153224,0.4990108366935475,0.9333333333333333,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,6.25,1.8166666666666664,0,0.7747933884297521
-UUCSKoHeMA$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.29459310165975117,0.23787136929460617,0.28415871369294665,0.40228633298755206,0.6738838174273862,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,2.25,5.616666666666666,0,0.2860169491525424
-UacrmKiTn4$_$10,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.2700473611111107,0.19544652777777755,0.25517055555555535,0.3726342569444438,0.6306616666666662,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,0.25,7.083333333333333,0,0.034090909090909095
-UacrmKiTn4$_$4,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,14,1.0,0.25012672413793147,0.16289892241379333,0.1934971982758623,0.23310420258620684,0.34727133620689665,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.5,3.2333333333333334,0,0.31690140845070425
-UuX1xuaiiE$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,8,0.8888888888888888,0.2224228603603604,0.2320416666666668,0.2485143581081083,0.2655862049549549,0.39466610360360366,0.8888888888888888,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,3.6999999999999997,0,0.0
-UuX1xuaiiE$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,23,0.8518518518518519,0.29455078125,0.20032421874999995,0.2620234374999999,0.40055859374999964,0.6394687499999998,0.8518518518518519,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,10.333333333333334,0,0.0
-UuX1xuaiiE$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,9,1.0,0.28979449999999995,0.18779449999999986,0.2564129999999999,0.30915904999999994,0.5997469999999998,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,0.5,3.5999999999999996,0,0.12195121951219513
-UuX1xuaiiE$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.25171546052631655,0.2035444078947371,0.25653083881578975,0.34915929276315805,1.1267384868421053,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,2.25,5.85,0,0.2777777777777778
-a55Q6RWvTA$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,65,1.0,0.24551546625544196,0.18195405478954996,0.2297829281567454,0.39415762427430734,1.2743198929608113,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,17.0,5.133333333333333,0,0.7680722891566265
-aNfi7CP8vM$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.2983824013157901,0.23596945488721754,0.28775851738721836,0.43672461818609004,0.7693201362781945,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.666666666666666,7.0,0,0.19230769230769226
