sample_id,diagonal_score,row_best_sample_id,row_best_score,row_best_minus_diagonal,hungarian_sample_id,hungarian_score,mapping_suspected,video_id
-hnBHBN8p5A$_$6,0.22806067172264358,-hnBHBN8p5A$_$6,0.22806067172264358,0.0,-hnBHBN8p5A$_$6,0.22806067172264358,0,-hnBHBN8p5A
-hnBHBN8p5A$_$7,0.10666666666666669,-hnBHBN8p5A$_$6,0.12433862433862436,0.017671957671957672,-hnBHBN8p5A$_$7,0.10666666666666669,0,-hnBHBN8p5A
-iRBcNs9oI8$_$3,0.16363636363636364,-iRBcNs9oI8$_$9,0.46915584415584416,0.3055194805194805,-iRBcNs9oI8$_$7,0.2830409356725146,1,-iRBcNs9oI8
-iRBcNs9oI8$_$6,0.09459459459459457,-iRBcNs9oI8$_$9,0.53125,0.43665540540540543,-iRBcNs9oI8$_$9,0.53125,1,-iRBcNs9oI8
-iRBcNs9oI8$_$7,0.17222222222222222,-iRBcNs9oI8$_$9,0.17543859649122806,0.0032163742690058394,-iRBcNs9oI8$_$8,0.17247067448680353,0,-iRBcNs9oI8
-iRBcNs9oI8$_$8,0.12552854122621565,-iRBcNs9oI8$_$7,0.2170376712328767,0.09150913000666105,-iRBcNs9oI8$_$6,0.18310502283105023,0,-iRBcNs9oI8
-iRBcNs9oI8$_$9,0.25,-iRBcNs9oI8$_$9,0.25,0.0,-iRBcNs9oI8$_$3,0.2143540669856459,0,-iRBcNs9oI8
-lzEya4AM_4$_$5,0.9745817245817245,-lzEya4AM_4$_$5,0.9745817245817245,0.0,-lzEya4AM_4$_$5,0.9745817245817245,0,-lzEya4AM_4
-lzEya4AM_4$_$6,0.9886531661845066,-lzEya4AM_4$_$6,0.9886531661845066,0.0,-lzEya4AM_4$_$6,0.9886531661845066,0,-lzEya4AM_4
-mJ2ud6oKI8$_$1,0.0,-mJ2ud6oKI8$_$6,0.22023809523809523,0.22023809523809523,-mJ2ud6oKI8$_$8,0.1734143049932524,1,-mJ2ud6oKI8
-mJ2ud6oKI8$_$2,0.0,-mJ2ud6oKI8$_$6,0.11184210526315791,0.11184210526315791,-mJ2ud6oKI8$_$2,0.0,0,-mJ2ud6oKI8
-mJ2ud6oKI8$_$6,0.21581196581196582,-mJ2ud6oKI8$_$6,0.21581196581196582,0.0,-mJ2ud6oKI8$_$1,0.0,0,-mJ2ud6oKI8
-mJ2ud6oKI8$_$8,0.18859649122807018,-mJ2ud6oKI8$_$6,0.2669856459330143,0.07838915470494415,-mJ2ud6oKI8$_$6,0.2669856459330143,0,-mJ2ud6oKI8
